codigo_municipio,populacao_0_17
2505402,2188
2505501,899
2505600,1603
2505709,2849
2505808,817
2505907,836
2506004,8360
2506103,3055
2506202,586
2506251,2210
2506301,14655
2506400,3629
2506509,826
2506608,1372
2506707,3027
2506806,4569
2506905,5544
2507002,6157
2507101,5007
2507200,2943
2507309,3848
2507408,1701
2507507,194972
2507606,2034
2507705,5171
2507804,1780
2507903,2772
2508000,2328
2508109,1040
2508208,2107
2508307,7407
2508406,764
2508505,1932
2508554,1316
2508604,3712
2508703,930
2508802,1512
2508901,12845
2509008,3004
2509057,2925
2509107,5458
2509156,1682
2509206,3681
2509305,2628
2509339,1325
2509370,606
2509396,1791
2509404,3767
2509503,1611
2509602,1119
2509701,8070
2509800,2240
2509909,2432
2510006,1690
2510105,2466
2510204,1556
2510303,941
2510402,1583
2510501,847
2510600,693
2510659,391
2510709,647
2510808,25651
2510907,2716
2511004,951
2511103,1610
2511202,8007
2511301,3755
2511400,4586
2511509,3426
2511608,1998
2511707,1551
2511806,2486
2511905,5069
2512002,4901
2512036,1018
2512077,875
2512101,7614
2512200,1004
2512309,5501
2512408,3927
2512507,12810
2512606,444
2512705,4888
2512721,1594
2512747,775
2512754,1128
2512762,1254
2512788,526
2512804,2059
2512903,6548
2513000,902
2513109,2847
2513158,2109
2513208,1318
2513307,1288
2513356,856
2513406,3511
2513505,1229
2513604,1583
2513653,590
2513703,41074
2513802,994
2513851,574
2513901,7940
2513927,1079
2513943,665
2513968,575
2513984,670
2514008,987
2514107,1136
2514206,1775
2514305,1342
2514404,978
2514453,1637
2514503,4699
2514552,834
2514602,856
2514651,423
2514701,914
2514800,828
2514909,1768
2515005,1962
2515104,2857
2515203,847
2515302,13490
2515401,2867
2515500,3124
2515609,823
2515708,813
2515807,1659
2515906,1354
2515930,1312
2515971,2193
2516003,6733
2516102,3704
2516151,920
2516201,16396
2516300,3993
2516409,1998
2516508,3849
2516607,3793
2516706,4241
2516755,780
2516805,2402
2516904,3512
2517001,2473
2517100,577
2517209,1052
2517407,609
2600054,23793
2600104,10423
2600203,4946
2600302,6065
2600401,7647
2600500,13205
2600609,3520
2600708,9459
2600807,4908
2600906,4972
2601003,2773
2601052,5627
2601102,25616
2601201,20924
2601300,3379
2601409,11918
2601508,2724
2601607,5275
2601706,20803
2601805,3171
2601904,14400
2602001,9996
2602100,12349
2602209,9093
2602308,10225
2602407,2565
2602506,1975
2602605,13768
2602704,3406
2602803,16122
2602902,51604
2603009,8838
2603108,5167
2603207,8647
2603306,3047
2603405,1373
2603454,34264
2603504,4352
2603603,1994
2603702,6418
2603801,5168
2603900,4910
2603926,4065
2604007,18957
2604106,95556
2604155,3422
2604205,9108
2604304,2992
2604403,3739
2604502,5274
2604601,6715
2604700,4916
2604809,2752
2604908,3803
2605004,6219
2605103,10081
2605152,4603
2605202,15679
2605301,8894
2605400,5526
2605459,536
2605509,3826
2605608,5193
2605707,8895
2605806,3048
2605905,5245
2606002,37538
2606101,7907
