"CD_DIST";"NM_DIST";"PERE0115_NOVA";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"150178205";"Breu Branco";"1212";"13531";"45626";"3,56";"1434,87";"3565571,92";"1212"
"150180805";"Breves";"1200";"16450";"65941";"4,89";"1701,97";"4836332,47";"1200"
"150180810";"Antônio Lemos";"745";"1643";"8091";"6,39";"974,59";"575320,63";"745"
"150180815";"Curumu";"600";"3549";"17367";"5,84";"1023,80";"1022955,69";"600"
"150180820";"São Miguel dos Macacos";"1200";"2714";"15234";"7,71";"1442,98";"1467666,60";"1200"
"150190705";"Bujaru";"1000";"5321";"18439";"3,26";"1180,95";"1444315,14";"1000"
"150190710";"Guajará-Açu";"800";"1774";"5870";"3,03";"954,36";"507404,96";"800"
"150195605";"Cachoeira do Piriá";"800";"5620";"19578";"3,20";"1137,35";"3339622,06";"800"
"150200405";"Cachoeira do Arari";"900";"6549";"23940";"3,75";"1066,42";"2071519,35";"900"
"150210305";"Cametá";"1200";"19388";"75632";"3,97";"1469,02";"4214832,03";"1200"
"150210307";"Areião";"1190";"522";"1932";"4,11";"1093,91";"1243535,21";"1190"
"150210310";"Carapajó";"1200";"2569";"10793";"4,38";"1199,68";"1426602,86";"1200"
"150210315";"Curuçambaba";"700";"2563";"10448";"4,02";"950,46";"838494,64";"700"
"150210320";"Janua Coeli";"600";"2258";"9371";"3,81";"864,91";"630568,27";"600"
"150210325";"Juaba";"600";"3659";"15750";"4,35";"877,67";"765801,47";"600"
"150210330";"Moiraba";"700";"812";"3280";"4,52";"970,44";"1145573,83";"700"
"150210336";"Torres do Cupijó";"800";"660";"2862";"4,84";"980,86";"627418,22";"800"
"150210340";"Vila do Carmo do Tocantins";"1200";"848";"3659";"5,14";"1189,60";"1999347,25";"1200"
"150215205";"Canaã dos Carajás";"2000";"24367";"76817";"2,33";"2745,82";"10312200,94";"2000"
"150220205";"Capanema";"1212";"20775";"62777";"2,13";"1901,09";"7593794,84";"1212"
"150220210";"Mirasselvas";"1000";"1373";"4585";"2,71";"1127,46";"1335709,42";"1000"
"150220215";"Tauari";"1200";"909";"2854";"2,70";"1216,17";"2150049,90";"1200"
"150230105";"Capitão Poço";"1200";"18207";"56439";"2,18";"1314,54";"4086230,01";"1200"
"150240005";"Castanhal";"1212";"61380";"184498";"2,01";"2076,84";"27748933,34";"1212"
"150240010";"Apeú";"1212";"2380";"7141";"2,08";"4395,83";"14597348091,72";"1212"
"150250905";"Chaves";"1000";"4142";"17972";"4,92";"1217,38";"2485913,74";"1000"
"150250910";"São Sebastião de Viçosa";"600";"602";"2710";"5,23";"983,30";"864705,68";"600"
"150260805";"Colares";"1200";"3992";"12844";"2,85";"1272,76";"3907662,10";"1200"
"150270705";"Conceição do Araguaia";"1212";"15172";"44534";"2,32";"1945,39";"6163504,26";"1212"
"150275605";"Concórdia do Pará";"1212";"7957";"26800";"3,01";"1394,72";"2611612,19";"1212"
"150276405";"Cumaru do Norte";"1500";"3617";"12817";"4,92";"2251,75";"9757548,29";"1500"
"150277205";"Curionópolis";"1212";"6416";"19942";"2,79";"1834,33";"8407381,51";"1212"
"150280605";"Curralinho";"600";"5549";"22418";"4,05";"1218,04";"4579850,54";"600"
"150280610";"Piriá";"600";"2600";"11342";"4,71";"823,73";"872052,09";"600"
"150285505";"Curuá";"1000";"3903";"14105";"3,72";"1152,33";"2367527,35";"1000"
"150290505";"Curuçá";"1200";"7755";"26635";"3,46";"1304,15";"2516600,71";"1200"
"150290520";"Lauro Sodré";"1200";"1788";"5692";"2,83";"1190,82";"1854455,48";"1200"
"150290525";"Murajá";"1200";"980";"3338";"2,87";"1216,69";"1703083,66";"1200"
"150290540";"Ponta de Ramos";"900";"1604";"5454";"3,27";"1023,65";"923794,58";"900"
"150293905";"Dom Eliseu";"1212";"15347";"58380";"4,73";"1804,78";"72808353,38";"1212"
"150295405";"Eldorado do Carajás";"1212";"8905";"28117";"2,77";"1733,48";"4221940,29";"1212"
"150300205";"Faro";"1200";"1813";"7568";"5,27";"1367,11";"4293409,06";"1200"
"150300208";"Nova Maracanã";"1212";"277";"1110";"4,65";"1202,27";"2091534,11";"1212"
"150304405";"Floresta do Araguaia";"1200";"4872";"14648";"2,28";"1518,54";"2986326,93";"1200"
"150304410";"Bela Vista";"1212";"1114";"3239";"2,17";"1459,88";"1623522,39";"1212"
"150307705";"Garrafão do Norte";"900";"7641";"24485";"2,35";"1123,67";"1625458,18";"900"
"150309305";"Goianésia do Pará";"1212";"8279";"26286";"2,52";"1613,03";"5124866,40";"1212"
"150310105";"Gurupá";"1200";"5617";"23998";"4,98";"1465,18";"6624199,07";"1200"
"150310110";"Carrazedo";"1200";"508";"2406";"5,94";"1207,77";"687868,74";"1200"
"150310115";"Itatupã";"1200";"1240";"5240";"4,59";"1345,25";"1222103,53";"1200"
"150320005";"Igarapé-Açu";"1200";"9547";"29536";"2,24";"1442,39";"4655720,78";"1200"
"150320010";"Caripi";"1200";"1982";"6064";"2,29";"1151,47";"2804413,95";"1200"
"150330905";"Igarapé-Miri";"1200";"10845";"40599";"3,66";"1395,12";"5053897,55";"1200"
"150330910";"Maiauatá";"800";"6080";"24107";"3,54";"1009,45";"1487813,33";"800"
