codigo_escola,enem_media_geral_2024,qtd_participantes_enem_2024
26197405,671.6392592592592,27
31005622,671.6296551724138,29
35105314,671.5785882352941,85
33042578,671.5490909090909,44
31281883,671.4350000000001,20
35450339,671.3885714285714,70
21010331,671.2671698113206,53
31367672,671.154716981132,106
31074098,671.1405263157894,152
35137674,671.1087850467289,107
25133861,671.0655172413793,29
35137133,671.0115032679739,51
31053953,670.9985123966943,121
33039151,670.876,10
33154007,670.7362162162162,37
52034046,670.5957142857143,84
31365599,670.5318181818183,22
60020317,670.29,6
31205150,670.1506976744186,43
24057169,670.1132258064515,62
35112689,670.045090909091,55
60020687,670.012,5
31325694,669.9770000000001,20
31360147,669.9171428571428,21
13099981,669.86,19
35114832,669.8261702127659,94
60025390,669.825,8
35143352,669.7828571428572,56
31041327,669.7629166666667,64
31280691,669.724,15
21199090,669.684424778761,113
33034303,669.6744927536232,46
43074197,669.6697142857142,35
43214754,669.6651351351352,74
52088308,669.656551724138,29
35144186,669.6146666666666,15
26152630,669.6128253968254,105
31329576,669.6073684210526,19
35583005,669.5975,16
28017943,669.5946551724138,116
25030540,669.54,14
31291986,669.3433333333334,24
31266582,669.3231578947368,19
31123536,669.3035294117647,34
15168344,669.1164285714285,56
35103718,669.0954320987655,54
52034054,669.0632900432901,77
52109585,669.0519191919192,33
22144196,669.0204545454545,88
35172741,668.941,20
31096270,668.9253846153847,26
42109230,668.9104641350211,79
22128778,668.891,20
31309711,668.8436363636364,22
51088835,668.7826923076923,52
41065549,668.7461403508772,38
35125222,668.642,40
35123419,668.6172413793104,29
23462442,668.548,60
33138672,668.5386206896551,29
33180539,668.5036714975846,69
35006933,668.4967164179104,67
35373886,668.3968181818182,44
31313068,668.358,40
29422248,668.3539130434783,23
32074182,668.2994202898551,23
43213995,668.2895238095238,63
35105041,668.2384615384616,13
31239682,668.1521367521368,39
25016172,668.1289655172413,29
31006491,668.1278787878788,33
31133701,668.0110638297872,47
60012363,667.9775,8
33066752,667.9750877192982,57
35102805,667.9682352941177,34
31382655,667.9603225806452,124
51036215,667.6398058252427,103
31223778,667.5445454545454,22
23274859,667.5325,16
31279552,667.528,25
60000903,667.5275,8
50027956,667.5262962962962,54
33064032,667.4320930232559,43
31118320,667.2717073170732,41
35439599,667.2421052631579,57
53019733,667.2181333333334,50
41075927,667.1969491525424,59
35144034,667.0891891891891,37
31005975,667.0699999999999,16
33163863,667.0163636363636,55
42133114,666.96375,16
26180200,666.958947368421,38
60019964,666.9180952380951,7
35159104,666.7837499999999,16
26033909,666.7723415977962,121
35155226,666.6891666666667,24
33087539,666.5600000000001,12
35121381,666.5357692307692,52
33168202,666.5273076923077,52
26186896,666.526875,32
60026855,666.49,6
35448205,666.3777160493827,108
31385433,666.3226666666667,30
29472440,666.2555172413793,58
31377759,666.23,10
60027395,666.2133333333333,3
29241391,666.1555000000001,40
31365106,666.1020000000001,30
31352195,666.0060856269113,218
60026733,665.9933333333333,3
33029490,665.9825641025641,78
60013006,665.9088888888889,9
43108164,665.8501904761905,210
35186600,665.8051282051282,13
53015347,665.7965909090909,88
35134132,665.7871698113207,53
35136025,665.7623333333333,100
28031563,665.7418279569893,62
35131945,665.7037209302325,43
31329762,665.6750191570882,87
27049140,665.6145833333334,48
41379420,665.5749999999999,12
31006513,665.5727272727273,11
35130217,665.4384615384616,13
42163137,665.35,16
35301279,665.3222222222222,18
31370100,665.3136723163842,59
33101809,665.2571014492753,46
41158512,665.2377777777778,54
35114960,665.2028124999999,64
33074089,665.2017857142857,56
35140648,665.0812244897959,49
60005733,664.9766666666666,6
33031371,664.9390000000001,40
33177627,664.9207843137254,51
42061180,664.8978947368421,19
42150060,664.865,20
26156202,664.8627414330218,107
52089550,664.8482282282282,111
35140806,664.7980740740741,45
35104607,664.7761403508772,19
35109721,664.75625,16
60028641,664.7175,8
31380202,664.7161904761904,21
31254886,664.6753846153846,39
43172440,664.6028125,64
31031674,664.601,20
28033450,664.4881578947368,76
35117146,664.4653333333333,15
31061999,664.4506666666667,15
31180408,664.3916666666667,12
35451150,664.3914814814815,18
60015302,664.3466666666667,9
42090601,664.3245714285714,35
22025391,664.2919999999999,15
35141586,664.2725,96
