codigo_escola,codigo_municipio_enem,qtd_participantes_enem,enem_media_cn,enem_media_ch,enem_media_lc,enem_media_mt,enem_media_redacao,enem_media_geral
31320218,3169000,13,558.7153846153847,550.5461538461539,569.9923076923077,627.5384615384615,821.5384615384615,625.6661538461539
31320404,3106200,19,544.964705882353,570.1631578947369,572.078947368421,612.4470588235295,670.5263157894736,595.9557894736841
31320536,3170107,42,629.4975609756098,630.9357142857143,627.4428571428571,714.5585365853659,854.7619047619048,690.3314285714285
31321079,3148004,53,597.454716981132,602.0056603773585,597.688679245283,677.2830188679245,781.5094339622641,651.1883018867925
31321257,3104205,22,584.5136363636364,601.9863636363636,597.3545454545455,704.4090909090909,813.6363636363636,660.38
31321770,3139409,32,568.140625,578.175,584.10625,648.896875,768.125,629.48875
31321966,3126703,13,527.123076923077,560.7,576.5461538461539,528.9923076923077,838.4615384615385,606.3646153846154
31322245,3170404,32,559.675,568.275,586.0375,665.603125,778.75,631.668125
31322695,3115300,15,546.66,548.1800000000001,564.0533333333333,607.7133333333334,800.0,613.3213333333333
31322873,3106200,39,582.0076923076923,587.3000000000001,602.1384615384615,688.5282051282051,808.2051282051282,653.6358974358974
31322903,3162005,29,596.7586206896551,625.1310344827587,611.2034482758621,727.6241379310344,857.2413793103449,683.591724137931
31323071,3163706,20,542.9277777777778,574.2149999999999,573.3050000000001,585.8166666666667,722.0,600.9673333333333
31323748,3162906,36,570.925,594.3333333333334,594.3805555555556,677.9972222222223,807.2222222222222,648.9716666666667
31323772,3140001,39,532.0589743589743,535.8461538461538,556.223076923077,555.0179487179487,676.9230769230769,571.2138461538461
31323942,3170206,26,541.116,566.4038461538462,576.0076923076923,633.112,760.0,613.8364102564102
31323951,3151701,11,565.790909090909,592.9545454545455,598.6454545454545,680.1,843.6363636363636,656.2254545454546
31324434,3132404,11,514.95,520.5272727272727,555.0454545454545,553.75,596.3636363636364,540.9703030303031
31324485,3152808,9,598.3555555555555,590.5555555555555,585.5777777777778,647.0555555555555,742.2222222222222,632.7533333333334
31324515,3136702,54,563.525925925926,582.2851851851852,586.5333333333333,644.838888888889,796.6666666666666,634.77
31324663,3106200,113,580.1133928571428,587.7274336283185,598.8026548672566,651.0437499999999,822.4778761061947,648.4162241887905
31325163,3139409,57,575.6321428571429,593.378947368421,590.9719298245615,672.9196428571429,824.2105263157895,651.9126315789473
31325694,3154002,18,611.5444444444444,623.6944444444445,602.6500000000001,714.5277777777778,872.2222222222222,684.9277777777778
31325848,3132404,36,594.5138888888889,591.4861111111111,582.1166666666667,672.9888888888888,793.3333333333334,646.8877777777777
31325864,3116605,18,547.4722222222222,574.0666666666667,557.75,597.2666666666667,664.4444444444445,588.2
31325872,3162906,21,577.952380952381,579.5428571428571,593.5857142857143,688.1190476190476,846.6666666666666,657.1733333333333
31326143,3113305,20,503.33000000000004,531.625,555.1899999999999,547.87,775.0,582.603
31326577,3162500,29,559.1413793103449,575.2655172413794,582.3379310344827,656.8103448275862,822.0689655172414,639.1248275862068
31326917,3143104,13,554.375,601.8384615384616,583.9,627.8166666666667,712.3076923076923,611.0446153846153
31327026,3152501,39,624.1692307692307,633.2153846153847,619.7820512820513,725.1,826.1538461538462,685.6841025641025
31327514,3120805,10,475.55,516.78,491.98,493.18,524.0,500.29799999999994
31328031,3100401,13,496.85833333333335,449.9692307692308,458.37692307692305,472.075,532.3076923076923,480.06615384615384
31328294,3138203,51,572.3843137254902,601.7392156862745,600.4274509803921,692.6745098039216,855.2941176470588,664.5039215686274
31329282,3106200,42,612.5619047619048,618.4547619047619,616.6404761904762,714.5785714285714,822.8571428571429,677.0185714285714
31329576,3111200,35,578.1942857142857,587.4028571428571,588.5314285714285,642.2742857142857,770.2857142857143,633.3377142857142
31329762,3127701,54,604.0326923076923,611.7925925925927,602.7092592592593,708.5692307692308,838.1481481481482,671.7748148148147
31331511,3137601,20,542.4449999999999,581.52,589.995,643.275,771.0,625.647
31331619,3156809,28,560.0821428571428,563.6714285714286,567.1678571428572,644.525,793.5714285714286,625.8035714285714
31332721,3134202,33,556.7161290322581,541.8666666666667,555.4787878787879,573.8225806451613,703.6363636363636,584.2365656565656
31332780,3106200,19,517.1315789473684,539.0736842105263,553.6368421052632,594.8684210526316,706.3157894736842,582.2052631578947
31333212,3136207,12,600.375,606.775,598.4916666666667,658.9,856.6666666666666,664.2416666666667
31333921,3144805,88,645.652380952381,641.9181818181819,640.1295454545455,801.5666666666667,835.0,710.295303030303
31334049,3167202,15,581.36,607.0,611.2133333333334,727.48,854.6666666666666,676.3439999999999
31334251,3147006,21,507.6952380952381,515.4047619047619,530.3571428571429,577.2047619047619,687.6190476190476,563.6561904761905
31335746,3167202,18,549.75,570.0722222222222,570.5611111111111,678.5722222222222,821.1111111111111,638.0133333333333
31338559,3161106,32,461.04,460.415625,478.19375,423.72666666666663,469.375,456.52479166666666
31339989,3118304,15,621.48,640.3,639.5666666666667,747.8866666666667,853.3333333333334,700.5133333333334
31340030,3146008,15,565.7733333333333,567.2800000000001,589.4599999999999,675.6800000000001,765.3333333333334,632.7053333333333
31340367,3103504,44,553.3418604651163,557.0090909090909,587.3568181818182,600.1116279069768,787.7272727272727,616.3863636363636
31340391,3106200,56,502.2490909090909,519.8553571428572,535.3035714285714,563.6763636363637,698.5714285714286,563.5957142857143
31340405,3148707,12,542.4,565.1333333333333,573.9166666666666,623.4833333333333,815.0,623.9866666666667
31341398,3133758,27,525.0230769230769,538.4555555555555,551.6703703703704,581.8807692307693,708.1481481481482,579.7977777777778
31341550,3144805,18,607.0882352941177,602.4888888888888,587.3666666666667,708.4470588235295,812.2222222222222,660.7322222222223
31342076,3167103,19,514.1052631578947,511.0894736842106,542.7421052631579,581.4684210526316,707.3684210526316,571.3547368421052
31342122,3145208,26,571.656,563.6423076923077,576.9653846153847,665.24,766.1538461538462,630.0184615384616
31342327,3147105,63,613.552380952381,632.5380952380953,617.2603174603175,734.7253968253967,860.0,691.6152380952382
31342505,3124104,10,552.5899999999999,567.22,584.0,635.23,804.0,628.608
31342998,3169307,35,606.7857142857143,606.9200000000001,620.2942857142857,717.34,858.8571428571429,682.0394285714286
31343099,3170206,26,542.5307692307692,546.2846153846153,571.3,593.8923076923077,737.6923076923077,598.34
31343323,3103405,11,485.79090909090905,433.32727272727277,474.3363636363636,447.47272727272724,441.8181818181818,456.5490909090909
31343447,3102605,12,534.8545454545455,531.6,561.95,567.0090909090909,685.0,575.415
31343668,3107406,28,556.9035714285714,593.0892857142857,587.8714285714286,670.625,843.5714285714286,650.4121428571428
31343781,3152501,72,598.4871428571429,592.3069444444444,591.9444444444445,691.4357142857143,793.8888888888889,651.6799074074074
31343790,3130101,11,535.4909090909091,519.8181818181819,557.1999999999999,574.0090909090909,750.9090909090909,587.4854545454546
31343889,3110608,8,546.4875,568.1625,569.075,580.0875,657.5,584.2625
31344176,3137601,30,576.4233333333334,617.5033333333333,585.26,708.51,796.6666666666666,656.8726666666666
31344249,3118007,24,502.64166666666665,535.7416666666667,543.0375,560.2291666666666,787.5,585.83
31344869,3142908,15,535.3133333333333,561.76,561.9266666666666,625.62,789.3333333333334,614.7906666666667
31345571,3133105,12,572.6583333333333,607.9833333333333,594.6583333333333,678.475,795.0,649.755
31345857,3171204,44,543.5953488372093,562.4727272727273,570.1454545454545,655.7790697674419,736.3636363636364,613.6365151515151
31346209,3143302,43,567.5418604651163,587.8238095238095,587.504761904762,645.5348837209302,813.8095238095239,635.909534883721
31346314,3138203,21,615.8571428571429,596.4428571428571,594.4714285714285,693.795238095238,833.3333333333334,666.78
31346420,3106200,22,539.35,557.6,571.9454545454545,571.2636363636364,735.4545454545455,595.1227272727273
31346799,3101607,27,610.2333333333333,602.2777777777778,611.1703703703703,710.9296296296296,825.1851851851852,671.9592592592593
31346934,3119302,18,568.6555555555556,583.9944444444444,581.4611111111111,643.7611111111111,708.8888888888889,617.3522222222223
31348465,3143302,13,547.4846153846154,608.2692307692307,596.7153846153847,581.2769230769231,793.8461538461538,625.5184615384616
31348503,3132404,30,553.1517241379311,567.5266666666666,580.6800000000001,648.7137931034483,798.0,628.9557777777777
31349127,3120805,18,547.3499999999999,573.4055555555556,573.7388888888888,679.2166666666667,791.1111111111111,632.9644444444444
31349348,3145604,58,532.0526315789474,561.8948275862069,572.6913793103448,622.7087719298246,798.9655172413793,616.367356321839
31349372,3144375,65,504.9147540983606,512.4784615384615,524.043076923077,521.1770491803279,551.3846153846154,522.6458461538462
31349399,3157807,21,495.85238095238094,507.3857142857143,538.4,515.5380952380953,657.1428571428571,542.8638095238096
31349720,3131307,48,697.4854166666668,674.88125,646.6145833333334,819.4562500000001,894.1666666666666,746.5208333333334
31350133,3171071,11,528.3000000000001,501.7181818181818,545.2636363636364,513.0909090909091,578.1818181818181,533.3109090909091
31350567,3139607,14,528.9571428571428,517.5142857142857,537.2142857142857,607.4214285714286,740.0,586.2214285714286
31350664,3106200,312,677.5511254019292,674.2570512820513,653.6173076923077,805.7536977491961,863.8461538461538,734.6394871794871
31350885,3167202,33,569.0333333333333,590.3484848484849,584.3606060606061,645.6484848484849,679.3939393939394,613.7569696969697
31351377,3169604,9,551.7777777777778,595.3888888888889,591.7333333333333,633.9555555555556,775.5555555555555,629.6822222222222
31351393,3147204,16,512.6133333333333,537.8875,530.99375,552.4933333333333,660.0,558.1679166666667
31351512,3118403,24,520.9791666666666,538.9916666666667,569.5583333333333,662.8125,750.0,608.4683333333334
31351598,3145604,18,517.9888888888888,542.8944444444445,565.9333333333333,562.5555555555555,746.6666666666666,587.2077777777778
31351725,3106200,30,692.7,697.5466666666667,665.7133333333334,819.4466666666667,856.0,746.2813333333332
31352195,3170206,285,588.3593639575972,610.0031690140845,607.1901408450705,680.417667844523,812.8169014084507,659.5858947368422
31352829,3168002,11,477.1181818181818,453.05454545454546,489.7,462.52727272727276,576.3636363636364,491.7527272727273
31353906,3106705,89,556.4258426966293,577.9089887640449,588.6808988764045,644.7887640449438,783.5955056179776,630.28
31353990,3136702,17,597.3529411764706,585.0588235294117,603.2764705882354,663.3411764705882,765.8823529411765,642.9823529411765
31354163,3146008,17,533.2352941176471,530.5,577.3470588235294,596.8176470588235,820.0,611.58
31354562,3170107,31,683.0451612903227,673.9516129032259,646.0096774193548,783.4903225806452,882.5806451612904,733.8154838709677
31354600,3144805,19,589.6294117647059,587.8684210526316,606.9315789473685,704.1941176470588,810.5263157894736,657.9550877192983
31354848,3138203,25,602.008,579.3480000000001,594.984,711.596,819.2,661.4272
31354910,3136702,119,623.7271186440678,627.1361344537814,625.7075630252101,719.5881355932203,856.4705882352941,690.7852100840337
31355356,3102605,22,577.709090909091,595.4090909090909,586.6954545454546,634.6136363636364,834.5454545454545,645.7945454545454
31355640,3101607,13,494.40769230769234,551.8153846153847,550.7461538461538,568.3538461538462,772.3076923076923,587.5261538461539
