"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100122029";"Capelasso";"430";"1470";"2,14";"1683,47";"1680291,92";"1212"
"1100122030";"Colina Park";"228";"595";"1,22";"5143,07";"15868479,40";"4000"
"1100122031";"Colina Park II";"249";"673";"1,21";"4009,28";"7572470,92";"3250"
"1100122032";"Novo Horizonte";"254";"702";"1,56";"2060,34";"3056709,79";"1500"
"1100122033";"Park Amazonas";"267";"761";"1,26";"3739,11";"8036437,64";"3000"
"1100122034";"Açaí";"190";"536";"1,49";"3147,76";"4562585,32";"2500"
"1100122035";"Araçá";"193";"508";"1,47";"3288,93";"6393128,40";"2500"
"1100122036";"Residencial Carneiro";"200";"590";"1,33";"3013,55";"3621242,66";"2500"
"1100122037";"Milão";"294";"817";"1,50";"2797,87";"7524192,54";"2000"
"1100122038";"Orleans Ji-Paraná I";"340";"958";"1,61";"2606,51";"5093506,80";"2000"
"1100122039";"Orleans Ji-Paraná II";"249";"724";"1,19";"3077,98";"5192690,39";"2500"
"1100122040";"Rondon";"229";"702";"2,08";"1474,34";"855491,36";"1212"
"1100122041";"Terra Nova";"233";"670";"2,14";"2006,58";"3915132,27";"1500"
"1100122042";"União II";"199";"566";"1,69";"2516,08";"12523043,70";"1900"
"1100130001";"Etevaldo de Aguiar Pires";"264";"662";"1,61";"1887,27";"2363126,81";"1500"
"1100130002";"José Carlos de Souza Freitas";"252";"664";"1,88";"2227,67";"2971761,94";"1500"
"1100130003";"Jeronimo Santana";"511";"1299";"1,65";"2236,68";"3995059,00";"1500"
"1100130004";"Shangrila";"64";"164";"1,20";"3594,59";"10772310,44";"2300"
"1100130005";"Pastor Milton Pereira Circunscrição";"372";"960";"1,55";"2181,90";"2850850,61";"1500"
"1100130006";"Novo Horizonte";"219";"546";"1,55";"1534,80";"1424777,12";"1200"
"1100130007";"Judith Holder";"300";"834";"2,23";"2104,67";"61228987,83";"1200"
"1100130008";"Ouro Verde";"171";"528";"2,67";"1292,44";"421565,16";"1200"
"1100130009";"Jatuarana";"122";"352";"2,23";"1304,47";"884715,08";"1200"
"1100130010";"Sol Nascente";"163";"468";"2,31";"1427,36";"1306886,39";"1212"
"1100130011";"Centro";"210";"543";"1,52";"2613,86";"3313182,58";"2000"
"1100130012";"Bom Futuro";"242";"693";"2,32";"1630,53";"1595388,61";"1212"
"1100130013";"Nações";"304";"813";"1,92";"1742,05";"1759495,91";"1200"
