CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,NO_DISTRITO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,LATITUDE,LONGITUDE,NU_CNPJ_MANTENEDORA
1100205,COLEGIO CRISTAO,11048557,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,0.0,16.0,20.0,11.0,4.0,0.0,0.0,934.0,98.0,2.8,1100205,Porto Velho,MATRINCHA,996,LAGOA,76812068,-8.769558901,-63.86785766,29711238000107.0
1100205,MAPLE BEAR PORTO VELHO,11049006,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0,5.0,19.0,8.0,4.0,0.0,0.0,714.0,93.0,2.325,1100205,Porto Velho,CALAMA,937,OLARIA,76801309,-8.7527783,-63.9076933,15896152000191.0
1100205,COLEGIO SAPIENS - UNIDADE INTENSIVO,11049073,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,73.0,73.0,14.6,1100205,Porto Velho,PAULO FREIRE,4767,FLODOALDO PONTES PINTO,76820514,-8.7523242,-63.8683903,5919287000252.0
1100205,INSTITUTO EDUCACIONAL ALENCAR FREITAS LTDA - ME,11049340,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,0.0,4.0,10.0,8.0,3.0,0.0,0.0,421.0,34.0,1.7894736842105263,1100205,Porto Velho,JULIA,6530,IGARAPÉ,76824318,-8.7479779,-63.8546004,26689255000105.0
1100288,COLEGIO CLARICE LISPECTOR LTDA,11045639,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,253.0,41.0,3.1538461538461537,1100288,Rolim de Moura,AVENIDA RECIFE Nº6151,6151,INDUSTRIAL,76940000,-11.7224542,-61.7884588,4727226000140.0
1100288,COLEGIO BENEC,11048174,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,0.0,4.0,5.0,3.0,2.0,0.0,0.0,99.0,12.0,0.75,1100288,Rolim de Moura,AVENIDA JOAO PESSOA,4271,,76940000,-11.7205871,-61.7713712,7835103000110.0
1100304,CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI,11033215,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0,10.0,8.0,6.0,2.0,0.0,663.0,194.0,9.7,1100304,Vilhena,BRIGADEIRO EDUARDO GOMES,1425,BELA VISTA,76982001,-12.7309009,-60.1210083,3783989000145.0
1100304,COLEGIO SANTA LUCIA FILIPPINI,11033738,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,2.0,5.0,4.0,3.0,3.0,0.0,244.0,59.0,5.9,1100304,Vilhena,LIBERDADE,2864,CENTRO,76980172,-12.74044711,-60.14777445,61601183000195.0
1100304,COOPERATIVA EDUCACIONAL DE VILHENA,11041951,4,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,0.0,8.0,10.0,8.0,4.0,0.0,0.0,631.0,128.0,4.0,1100304,Vilhena,LILIANA GONZAGA,1265,BELA VISTA,76982044,-12.73041303,-60.12262989,8256054000124.0
1100304,COLEGIO PROFESSOR VANKS,11043954,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,156.0,78.0,11.142857142857142,1100304,Vilhena,JOSE TRAVALON,4130,JARDIM UNIVERSITÁRIO,76981320,-12.7502113,-60.1391979,10682068000151.0
