CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,DS_ENDERECO,NU_ENDERECO,CO_CEP,NU_CNPJ_MANTENEDORA
3524402,ADVENTISTA DE JACAREI ESCOLA DE EFM,35135616,4,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,5.0,14.0,9.0,5.0,0.0,0.0,805.0,151.0,7.55,3524402,EDMUNDO DE SOUZA,110,12322050,43586122006902.0
3524402,SAINT EXUPERY PEQUENO PRINCIPE COLEGIO SEPP,35137194,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,282.0,108.0,9.818181818181818,3524402,BARAO DE JACAREI,1212,12308001,99999999999999.0
3524402,REZENDE E REZENDE COLEGIO,35138083,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,8.0,10.0,6.0,3.0,0.0,0.0,398.0,55.0,2.75,3524402,FLORIANO PEIXOTO,27,12308030,99999999999999.0
3524402,INSTITUTO MAXIMO DE EDUCACAO,35155871,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,253.0,72.0,4.8,3524402,JOAO AMERICO DA SILVA,384,12308660,2246930000155.0
3524402,ALCANCE COLEGIO,35167794,4,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,12.0,7.0,4.0,0.0,0.0,542.0,117.0,5.571428571428571,3524402,BORBA GATO,134,12327681,99999999999999.0
3524402,COLEGIOS UNIVAP UNIDADE VILLA BRANCA,35167800,4,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,0.0,5.0,7.0,5.0,0.0,0.0,416.0,154.0,6.416666666666667,3524402,LIMOEIRO,250,12305810,99999999999999.0
3524402,CAMINHAR INSTITUTO EDUCACIONAL,35288822,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,54.0,1.0,24.0,26.0,19.0,8.0,0.0,0.0,1221.0,192.0,3.555555555555556,3524402,CARLOS FREDERICO WERNECK LACERDA,317,12320410,2124541000157.0
3524402,MARQUES MORAES INSTITUTO EDUCACIONAL,35805804,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,51.0,14.0,1.4,3524402,UTAH,300,12321720,2980053000141.0
3524709,ESCOLA AVANTE PEQUENO PRINCIPE,35004917,4,2.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,1.0,10.0,7.0,4.0,2.0,0.0,0.0,272.0,17.0,0.85,3524709,ARTHUR NOGUEIRA,291,13912056,314859000175.0
3524709,COLEGIO ANGLO JAGUARIUNA,35007243,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,7.0,4.0,3.0,0.0,0.0,252.0,44.0,3.6666666666666665,3524709,MARANHAO,2203,13912704,35072045000156.0
