CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,codigo_escola,qtd_participantes_enem,enem_media_geral,indice_infra,indice_inclusao,confiavel_enem,percentil_enem,percentil_infra,percentil_inclusao,percentil_seletividade,score_destaque
1200401,ESC INSTITUTO AGUIAS DO SABER,12033545,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,9.0,3.0,3.0,0.0,287.0,112.0,5.6,1200401,12033545,35.0,534.9852380952381,5.0,2.0,True,0.07288567785805355,0.8642158946026349,0.8889715257118572,0.8811092222694432,0.2728
1301902,ESCOLA SESI ABRAHAO SABBA,13071238,4,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,282.0,63.0,5.727272727272728,1301902,13071238,,,4.0,1.0,False,,,,,
1301902,COLEGIO NOSSA SENHORA DO ROSARIO,13079220,4,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,0.0,2.0,6.0,6.0,6.0,0.0,0.0,399.0,132.0,8.8,1301902,13079220,33.0,581.2600000000001,1.0,1.0,True,0.38376540586485336,0.06629834254143646,0.4978750531236719,0.3822779430514237,0.3418
1302504,ESCOLA NILTON LINS,13110314,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,81.0,34.0,2.833333333333333,1302504,13110314,10.0,538.1220000000001,1.0,0.0,True,0.08478538036549087,0.06629834254143646,0.1090097747556311,0.3822779430514237,0.0981
1302603,INSTITUICOES EDUCACIONAIS NELLY FALCO DE SOUZA - LTDA,13025082,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,1.0,1.0,0.0,8.0,4.0,3.0,0.0,0.0,331.0,76.0,4.222222222222222,1302603,13025082,14.0,561.0690476190476,5.0,1.0,True,0.21674458138546537,0.8642158946026349,0.4978750531236719,0.8811092222694432,0.3611
1302603,INSTITUTO HILDA FERREIRA,13025210,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,315.0,13.0,0.5909090909090909,1302603,13025210,11.0,591.289090909091,3.0,2.0,True,0.4604759881002975,0.3556098597535062,0.8889715257118572,0.8811092222694432,0.4872
1302603,ESCOLA SESI DRA EMINA BARBOSA MUSTUFA,13025228,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,16.0,16.0,11.0,2.0,0.0,1247.0,291.0,9.7,1302603,13025228,34.0,526.1788235294118,5.0,2.0,True,0.04122396940076498,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.2241
1302603,COLEGIO ADVENTISTA DA CIDADE NOVA,13025295,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,36.0,1.0,0.0,12.0,23.0,18.0,10.0,0.0,0.0,2137.0,425.0,11.805555555555555,1302603,13025295,88.0,553.8579545454545,3.0,2.0,True,0.17042073948151296,0.3556098597535062,0.8889715257118572,0.3822779430514237,0.2447
1302603,COLEGIO ADVENTISTA DE MANAUS,13025333,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,1.0,4.0,12.0,11.0,6.0,1.0,0.0,798.0,155.0,7.75,1302603,13025333,37.0,543.3758558558559,3.0,0.0,True,0.10603484912877179,0.3556098597535062,0.1090097747556311,0.8811092222694432,0.1824
1302603,COLEGIO ADVENTISTA DA ALVORADA,13025376,4,4.0,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,37.0,1.0,0.0,10.0,24.0,25.0,26.0,0.0,0.0,1781.0,376.0,10.16216216216216,1302603,13025376,75.0,571.2662666666666,4.0,1.0,True,0.2966425839354016,0.5939226519337016,0.4978750531236719,0.3822779430514237,0.3556
1302603,CENTRO EDUCACIONAL RAIMUNDO BELO FERREIRA,13025694,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,1.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,187.0,61.0,3.388888888888889,1302603,13025694,11.0,572.9781818181818,5.0,1.0,True,0.309604759881003,0.8642158946026349,0.4978750531236719,0.8811092222694432,0.4308
1302603,CENTRO EDUCACIONAL LATO SENSU,13025872,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,42.0,1.0,1.0,8.0,19.0,16.0,10.0,4.0,0.0,1324.0,315.0,7.5,1302603,13025872,88.0,674.6186363636364,4.0,1.0,True,0.9358266043348916,0.5939226519337016,0.4978750531236719,0.8811092222694432,0.8599
1302603,CENTRO EDUCACIONAL AMAZONIA,13026020,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,3.0,10.0,8.0,3.0,0.0,0.0,576.0,76.0,3.8,1302603,13026020,14.0,532.5014285714286,5.0,2.0,True,0.06417339566510838,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.2413
1302603,CENTRO EDUCACIONAL CASIMIRO DE ABREU,13026089,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,1.0,0.0,2.0,5.0,4.0,3.0,0.0,0.0,147.0,31.0,1.24,1302603,13026089,,,2.0,0.0,False,,,,,
1302603,CENTRO EDUCACIONAL LA SALLE,13026194,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,1.0,1.0,13.0,36.0,29.0,18.0,0.0,0.0,2322.0,553.0,7.680555555555555,1302603,13026194,145.0,601.016183908046,5.0,2.0,True,0.5393115172120697,0.8642158946026349,0.8889715257118572,0.8811092222694432,0.6226
1302603,CENTRO EDUCACIONAL RECANTO DA CRIANCA E INTERATIVO,13026321,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,0.0,9.0,12.0,8.0,4.0,0.0,0.0,607.0,84.0,2.4,1302603,13026321,21.0,530.9428571428572,4.0,2.0,True,0.058223544411389716,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.1963
1302603,CENTRO EDUCACIONAL SILVIA GUERRA,13026356,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,1.0,0.0,1.0,5.0,7.0,6.0,1.0,0.0,197.0,77.0,4.529411764705882,1302603,13026356,17.0,538.0011764705882,3.0,1.0,True,0.08414789630259244,0.3556098597535062,0.4978750531236719,0.3822779430514237,0.1605
1302603,CBN COLEGIO BRIGIDO NOGUEIRA,13026372,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,0.0,2.0,10.0,8.0,3.0,0.0,0.0,296.0,47.0,3.9166666666666665,1302603,13026372,,,2.0,1.0,False,,,,,
1302603,ESCOLAS IDAAM,13026402,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,37.0,1.0,0.0,2.0,13.0,17.0,11.0,0.0,0.0,1180.0,415.0,11.216216216216216,1302603,13026402,126.0,607.6584126984128,4.0,0.0,True,0.5911602209944752,0.5939226519337016,0.1090097747556311,0.3822779430514237,0.557
1302603,COLEGIO NOSSA SENHORA AUXILIADORA,13026496,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,24.0,1.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,292.0,87.0,3.625,1302603,13026496,18.0,552.8377777777778,5.0,1.0,True,0.16638334041648958,0.8642158946026349,0.4978750531236719,0.8811092222694432,0.3234
