CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,qt_mat_med_2025,mat_por_sala,codigo_municipio,qt_mat_med_2023,crescimento_pct
1302603,ESCOLA LUMINOVA,13109030,4,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,183.0,50.0,3.333333333333333,1302603,4.0,1150.0
1302603,CENTRO EDUCACIONAL SONHO DOURADO,13116207,4,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,4.0,6.0,7.0,3.0,0.0,0.0,155.0,28.0,1.8666666666666667,1302603,24.0,16.7
1302603,ESCOLAS IDAAM,13313231,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1.0,0.0,5.0,4.0,4.0,0.0,0.0,272.0,123.0,0.6089108910891089,1302603,105.0,17.1
1400100,CENTRO EDUCACIONAL MACUNAIMA - COLEGIO FAMETRO,14000792,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,5.0,9.0,9.0,8.0,0.0,0.0,698.0,207.0,6.67741935483871,1400100,182.0,13.7
1400100,CENTRO DE EDUCACAO INTEGRADA COLMEIA LTDA,14000814,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,1.0,7.0,16.0,9.0,3.0,2.0,0.0,697.0,93.0,3.1,1400100,108.0,-13.9
1400100,ESC INSTITUTO BATISTA DE RORAIMA,14001055,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,2.0,7.0,8.0,8.0,0.0,0.0,334.0,102.0,2.6842105263157894,1400100,133.0,-23.3
1400100,CEN DE EDUC DO TRAB JOAO DE MENDONCA FURTADO - SESI,14001080,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,8.0,18.0,14.0,9.0,6.0,1.0,1591.0,191.0,6.161290322580645,1400100,174.0,9.8
1400100,COLEGIO CATHEDRAL,14007274,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,0.0,5.0,4.0,4.0,4.0,0.0,328.0,103.0,4.291666666666667,1400100,81.0,27.2
1400100,CENTRO DE EDUCACAO SESC,14324636,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,1.0,11.0,17.0,20.0,8.0,8.0,0.0,1306.0,191.0,3.673076923076923,1400100,219.0,-12.8
1500107,E PART E I F M INST NSRA DOS ANJOS,15066886,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,6.0,11.0,8.0,3.0,2.0,0.0,692.0,117.0,5.571428571428571,1500107,113.0,3.5
1500107,SISTEMA DE ENSINO INOVE,15161366,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,9.0,16.0,8.0,3.0,21.0,1.0,1159.0,95.0,2.375,1500107,67.0,41.8
1500107,IPP INSTITUTO PROFISSIONALIZANTE PARADIGMA LTDA-ME,15170055,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,39.0,15.0,3.0,1500107,0.0,
1500107,ENGELS,15584062,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,37.0,1.0,14.0,20.0,13.0,6.0,0.0,0.0,1361.0,261.0,7.054054054054054,1500107,281.0,-7.1
1500107,SISTEMA DE ENSINO VESTIBULANDO,15587983,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,1.0,3.0,5.0,4.0,3.0,3.0,0.0,434.0,78.0,4.588235294117647,1500107,95.0,-17.9
1500602,COLEGIO SAPIENS,15140463,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,6.0,10.0,7.0,3.0,1.0,0.0,414.0,70.0,4.666666666666667,1500602,91.0,-23.1
1500602,COLEGIO EVOLUCAO DE ALTAMIRA,15176045,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,308.0,57.0,3.5625,1500602,60.0,-5.0
1500602,ESCOLA SESI ALTAMIRA,15205401,4,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,8.0,2.0,2.0,8.0,573.0,54.0,9.0,1500602,18.0,200.0
1500602,COLEGIO GILDETE DUTRA,15552900,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,8.0,10.0,6.0,3.0,0.0,0.0,426.0,60.0,3.75,1500602,74.0,-18.9
1500602,E E I E FM VIDA E SABER,15156974,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,252.0,44.0,4.0,1500602,47.0,-6.4
1500800,SISTEMA INTEGRADO DE ENSINO LIMA PINHEIRO,15096009,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,256.0,53.0,3.3125,1500800,,
1500800,NUCLEO DE ENSINO PEQUENO PRINCIPE,15114015,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,1.0,5.0,10.0,8.0,3.0,0.0,0.0,455.0,104.0,3.466666666666667,1500800,109.0,-4.6
1500800,SISTEMA DE ENSINO AMAZONIA,15140725,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,253.0,100.0,6.666666666666667,1500800,103.0,-2.9
1500800,COLEGIO ADVENTISTA DA CIDADE NOVA,15152219,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,19.0,1.0,5.0,14.0,9.0,6.0,0.0,0.0,922.0,161.0,8.473684210526315,1500800,193.0,-16.6
1500800,CENTRO EDUCACIONAL INFANTIL PEQUENO EINSTEIN,15156826,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,31.0,2.0,0.1333333333333333,1500800,23.0,-91.3
1500800,COLEGIO CIEC,15158969,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,235.0,34.0,2.2666666666666666,1500800,47.0,-27.7
1500800,PHYSICS COLEGIO E CURSO,15163849,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,30.0,1.0,8.0,10.0,6.0,6.0,0.0,0.0,630.0,261.0,8.7,1500800,350.0,-25.4
1500800,SISTEMA EDUCACIONAL CRISTAO SEMEAR,15164543,4,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,4.0,6.0,6.0,4.0,0.0,0.0,415.0,92.0,4.6,1500800,34.0,170.6
1500800,SISTEMA EDUCACIONAL UNIVERSO POSITIVO,15165833,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,3.0,8.0,8.0,3.0,0.0,0.0,417.0,100.0,6.666666666666667,1500800,53.0,88.7
1500800,SISTEMA DE ENSINO LOGOS LTDA,15167178,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,350.0,112.0,3.393939393939394,1500800,147.0,-23.8
1500800,ESCOLA SESI ANANINDEUA,15169928,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,0.0,15.0,16.0,10.0,0.0,9.0,1396.0,191.0,8.681818181818182,1500800,200.0,-4.5
1500800,ASPECTO EDUCACAO,15172228,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0,5.0,4.0,2.0,0.0,0.0,217.0,32.0,2.6666666666666665,1500800,33.0,-3.0
1500800,COLEGIO LA SALLE ANANIDEUA,15173330,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,7.0,10.0,6.0,3.0,0.0,0.0,657.0,91.0,1.82,1500800,40.0,127.5
1500800,COLEGIO EQUIPE ANANINDEUA,15177017,4,1.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,6.0,4.0,0.0,320.0,241.0,18.53846153846154,1500800,177.0,36.2
1500800,ESCOLA DE ENSINO INFANTIL E FUNDAMENTAL JEAN PIAGET,15179087,4,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,146.0,7.0,1.0,1500800,0.0,
1500800,CENTRO DE ESTUDOS ANTENOR REIS,15208400,4,1.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,129.0,48.0,4.8,1500800,78.0,-38.5
