codigo_escola;faixa_rank_cidade;faixa_ordem
42053480;Top 5;1
42104637;Top 5;1
42116112;Top 5;1
42141036;Top 5;1
42203600;Top 5;1
42011612;Top 5;1
42011620;Top 5;1
42012023;Top 5;1
42084695;Top 5;1
42163137;Top 5;1
42000670;Top 5;1
42160383;Top 5;1
42163021;Top 5;1
42000238;Top 5;1
42133114;Top 5;1
42068606;Top 5;1
42068690;Top 5;1
42068703;Top 5;1
42159547;Top 5;1
42164702;Top 5;1
42091403;Top 5;1
42091462;Top 5;1
42091560;Top 5;1
42091578;Top 5;1
42152038;Top 5;1
42020492;Top 5;1
42020530;Top 5;1
42020565;Top 5;1
42020590;Top 5;1
42121191;Top 5;1
42028493;Top 5;1
42028990;Top 5;1
42143390;Top 5;1
42143969;Top 5;1
42099536;Top 5;1
42154529;Top 5;1
42159571;Top 5;1
42160073;Top 5;1
42160715;Top 5;1
42108764;Top 5;1
42116643;Top 5;1
42119529;Top 5;1
42003890;Top 5;1
42003903;Top 5;1
42005728;Top 5;1
42006694;Top 5;1
42006708;Top 5;1
42006724;Top 5;1
42127831;Top 5;1
43003761;Top 5;1
43013880;Top 5;1
43183034;Top 5;1
43019048;Top 5;1
43019056;Top 5;1
43019196;Top 5;1
43008895;Top 5;1
43022316;Top 5;1
43022324;Top 5;1
43023363;Top 5;1
43029752;Top 5;1
43181694;Top 5;1
43211984;Top 5;1
43037682;Top 5;1
43037690;Top 5;1
43038387;Top 5;1
43210643;Top 5;1
43219616;Top 5;1
43043666;Top 5;1
43043674;Top 5;1
43043720;Top 5;1
43176852;Top 5;1
43215688;Top 5;1
43056172;Top 5;1
43056180;Top 5;1
43057152;Top 5;1
43068677;Top 5;1
43069002;Top 5;1
43069290;Top 5;1
43069355;Top 5;1
43216471;Top 5;1
43092454;Top 5;1
43092519;Top 5;1
43092870;Top 5;1
43093124;Top 5;1
43093353;Top 5;1
43097774;Top 5;1
43097782;Top 5;1
43097812;Top 5;1
43098584;Top 5;1
43215360;Top 5;1
43100031;Top 5;1
43173217;Top 5;1
43173390;Top 5;1
43175317;Top 5;1
43215572;Top 5;1
43104975;Top 5;1
43107419;Top 5;1
43108164;Top 5;1
43173330;Top 5;1
43215050;Top 5;1
43112803;Top 5;1
43113656;Top 5;1
43113680;Top 5;1
43214835;Top 5;1
43112790;Top 5;1
43119930;Top 5;1
43119948;Top 5;1
43119964;Top 5;1
43121756;Top 5;1
43298265;Top 5;1
43121900;Top 5;1
43123090;Top 5;1
43123643;Top 5;1
43123988;Top 5;1
43216870;Top 5;1
43139094;Top 5;1
43139108;Top 5;1
43139558;Top 5;1
43162290;Top 5;1
43162690;Top 5;1
43167284;Top 5;1
43167772;Top 5;1
43167837;Top 5;1
43295258;Top 5;1
43180817;Top 5;1
50005405;Top 5;1
50027956;Top 5;1
50031163;Top 5;1
50032100;Top 5;1
50035088;Top 5;1
50015877;Top 5;1
50016385;Top 5;1
50016628;Top 5;1
50030590;Top 5;1
50032895;Top 5;1
50012487;Top 5;1
50024701;Top 5;1
50029312;Top 5;1
50032950;Top 5;1
50040200;Top 5;1
