unidade_propria;coordenada_exata;escola_lead;cidade;bairro;segmento_comercial;score_destaque;distancia_km;risco_canibalizacao
São Paulo (Perdizes/Barra Funda);True;ESCOLA DA VILA VILA DAS JUVENTUDES;São Paulo;BUTANTA;Outras posições;0,7929;11,25;baixo
São Paulo (Vila Mariana, coord. aproximada);False;ESCOLA DA VILA VILA DAS JUVENTUDES;São Paulo;BUTANTA;Outras posições;0,7929;11,32;baixo
São Paulo (Perdizes/Barra Funda);True;ALBERT SABIN COLEGIO;São Paulo;PARQUE DOS PRINCIPES;Outras posições;0,8644;11,63;baixo
São Paulo (Vila Mariana, coord. aproximada);False;PENTAGONO COLEGIO UNIDADE MORUMBI;São Paulo;VILA ANDRADE;Outras posições;0,7724;11,86;baixo
São Paulo (Perdizes/Barra Funda);True;OBJETIVO CENTRO INTERESCOLAR UNIDADE PAZ;São Paulo;SANTO AMARO;Outras posições;0,7346;11,88;baixo
São Paulo (Vila Mariana, coord. aproximada);False;BEACON SCHOOL;São Paulo;VILA LEOPOLDINA;Outras posições;0,862;12,21;baixo
São Paulo (Perdizes/Barra Funda);True;ESCOLA BILINGUE PUERI DOMUS UNIDADE I VERBO DIVINO;São Paulo;CHACARA SANTO ANTONIO ZONA SUL;Outras posições;0,7463;12,27;baixo
São Paulo (Perdizes/Barra Funda);True;PENHENSE ESCOLA ESP;São Paulo;PENHA DE FRANCA;Outras posições;0,7437;12,42;baixo
São Paulo (Vila Mariana, coord. aproximada);False;FUTURO ESCOLA DO;São Paulo;VILA SAO FRANCISCO;Outras posições;0,7301;12,65;baixo
São Paulo (Vila Mariana, coord. aproximada);False;DOM BOSCO COLEGIO UNID III;São Paulo;PARQUE MANDAQUI;Outras posições;0,737;13,06;baixo
São Paulo (Perdizes/Barra Funda);True;DOMINUS VIVENDI COLEGIO EIFM;São Paulo;VILA MASCOTE;Outras posições;0,7408;13,28;baixo
São Paulo (Perdizes/Barra Funda);True;PENTAGONO COLEGIO UNIDADE MORUMBI;São Paulo;VILA ANDRADE;Outras posições;0,7724;13,31;baixo
São Paulo (Perdizes/Barra Funda);True;SUICO BRASILEIRA SAO PAULO ESCOLA;São Paulo;JARDIM DOS ESTADOS;Outras posições;0,7299;13,35;baixo
São Paulo (Vila Mariana, coord. aproximada);False;JARDIM SAO PAULO UNIDADE TREMEMBE COLEGIO;São Paulo;TUCURUVI;Outras posições;0,7935;13,57;baixo
São Paulo (Perdizes/Barra Funda);True;BRASILIA DE SAO PAULO COLEGIO;São Paulo;VILA FORMOSA;Outras posições;0,8653;13,61;baixo
São Paulo (Vila Mariana, coord. aproximada);False;ALBERT SABIN COLEGIO;São Paulo;PARQUE DOS PRINCIPES;Outras posições;0,8644;13,98;baixo
São Paulo (Vila Mariana, coord. aproximada);False;MIRANDA COLEGIO DE EIFM;São Paulo;VILA MARIA EUGENIA;Outras posições;0,7956;14,11;baixo
São Paulo (Perdizes/Barra Funda);True;MAGNO COLEGIO;São Paulo;PARQUE RESIDENCIAL JULIA;Outras posições;0,8277;14,86;baixo
São Paulo (Perdizes/Barra Funda);True;INSTITUTO DE ENSINO NOVO DINAMICO;São Paulo;SITIO PINHEIRINHO;Outras posições;0,7831;15,13;baixo
São Paulo (Perdizes/Barra Funda);True;COLEGIO MAGISTER;São Paulo;JARDIM TAQUARAL;Outras posições;0,7424;15,61;baixo
São José dos Campos (Jd. Esplanada);True;EMBRAER JUAREZ WANDERLEY COLEGIO;São José dos Campos;EUGENIO DE MELLO;Líder local;0,9428;17,0;baixo
São Paulo (Vila Mariana, coord. aproximada);False;PERSPECTIVA ESCOLA;São Paulo;VILA FAZZEONI;Outras posições;0,7408;17,14;baixo
São Paulo (Perdizes/Barra Funda);True;PERSPECTIVA ESCOLA;São Paulo;VILA FAZZEONI;Outras posições;0,7408;18,97;baixo
São Paulo (Vila Mariana, coord. aproximada);False;ARGUMENTO COLEGIO;São Paulo;VILA ROBERTINA;Outras posições;0,801;19,22;baixo
São Paulo (Vila Mariana, coord. aproximada);False;COLEGIO SANTA VIRGINIA;São Paulo;ITAQUERA;Outras posições;0,7556;20,53;baixo
São Paulo (Perdizes/Barra Funda);True;ARGUMENTO COLEGIO;São Paulo;VILA ROBERTINA;Outras posições;0,801;20,68;baixo
São Paulo (Perdizes/Barra Funda);True;COLEGIO SANTA VIRGINIA;São Paulo;ITAQUERA;Outras posições;0,7556;24,72;baixo
