codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,produto_alvo,enem_media_geral_2024,qtd_participantes_enem_2024,enem_media_2anos,delta_enem_2025_2024
43043666,COLEGIO LA SALLE,4305108,5.0,12,Desafiante (2º-5º local),False,623.9843010752688,31.0,5.0,158.0,0.7193,Poliedro,639.5266666666666,36.0,632.335422885572,-15.542365591397811
35175420,CRESCER DE JUNDIAI COLEGIO,3525904,8.0,31,Outras posições,False,628.105625,32.0,5.0,168.0,0.7192,Poliedro,,,628.105625,
35118564,CASSIANO RICARDO COLEGIO,3554102,5.0,15,Desafiante (2º-5º local),False,645.4371929824562,76.0,3.0,238.0,0.7191,Poliedro,653.0469387755102,49.0,648.4202133333333,-7.609745793054003
42112796,ESCOLA AUTONOMIA,4205407,11.0,30,Outras posições,False,645.4151351351352,37.0,3.0,153.0,0.7189,Poliedro,654.6369565217391,46.0,650.5260240963856,-9.221821386603892
32083343,SEB ESCOLAS DE ALTA PERFORMANCE S A,3205200,4.0,23,Desafiante (2º-5º local),False,631.7739215686274,102.0,4.0,372.0,0.7189,Poliedro,619.7784511784512,99.0,625.8657048092869,11.995470390176251
33088780,CENTRO EDUCACIONAL PEREIRA ROCHA,3304904,3.0,29,Desafiante (2º-5º local),False,633.2328571428571,28.0,4.0,31.0,0.7187,Poliedro,,,633.2328571428571,
23235900,COLEGIO LOURENCO FILHO - PARANGABA,2304400,32.0,117,Outras posições,False,632.8504166666667,48.0,5.0,141.0,0.7187,Poliedro,615.1406451612903,31.0,625.9010126582278,17.709771505376352
42153824,COC BALNEARIO CAMBORIU COLEGIO CARVALHO,4202008,1.0,5,Líder local,False,650.8435078534031,191.0,3.0,247.0,0.7187,Poliedro,656.4160454545455,220.0,653.8263746958638,-5.572537601142358
31005088,COLEGUIUM - UNIDADE INTERNACIONAL BELVEDERE,3106200,59.0,110,Outras posições,False,622.1304761904763,14.0,5.0,52.0,0.7178,Poliedro,602.9908333333333,16.0,611.9226666666667,19.13964285714303
43123090,COLEGIO CORACAO DE MARIA,4316907,4.0,12,Desafiante (2º-5º local),False,623.6408,25.0,5.0,112.0,0.7177,Poliedro,637.5729078014184,47.0,632.7353703703704,-13.932107801418397
25134167,CENTRO DE ENSINO E SERVICOS PREPARATORIOS DE VESTIBULARES LTDA,2504009,5.0,20,Desafiante (2º-5º local),False,644.78,74.0,3.0,249.0,0.7176,Poliedro,,,644.78,
35500033,CIDADE RIO PRETO COLEGIO,3549805,6.0,28,Outras posições,False,644.7588461538461,52.0,3.0,211.0,0.7175,Poliedro,663.1241025641025,52.0,653.9414743589743,-18.365256410256393
33196770,COLEGIO E CURSO CARVALHO BRAGA,3305802,6.0,10,Outras posições,False,644.68,22.0,3.0,108.0,0.7171,Poliedro,637.1581818181818,11.0,642.1727272727272,7.521818181818162
35158823,FUTURO ESCOLA DO,3550308,72.0,516,Outras posições,False,631.3201075268817,31.0,4.0,132.0,0.7166,Poliedro,637.5691666666667,24.0,634.0469696969697,-6.249059139785004
43105025,COLEGIO NOSSA SRA DA GLORIA,4314902,24.0,61,Outras posições,False,618.2495555555556,30.0,5.0,138.0,0.7163,Poliedro,618.0315789473684,19.0,618.1650340136055,0.21797660818720033
33228604,COLEGIO E CURSO AZ - UNIDADE BOTAFOGO,3304557,89.0,344,Outras posições,False,649.7243262411348,94.0,1.0,190.0,0.7161,Poliedro,653.9626388888888,72.0,651.5626305220884,-4.2383126477540145
35126044,CURSOS PROVE ESCOLA DE ENSINO FUNDAMENTAL E MEDIO,3529005,5.0,13,Desafiante (2º-5º local),False,644.5392857142857,28.0,3.0,94.0,0.7159,Poliedro,654.4582608695653,23.0,649.0125490196078,-9.918975155279554
42003903,COLEGIO ELISA ANDREOLI,4216602,2.0,11,Desafiante (2º-5º local),False,627.3997037037037,135.0,5.0,443.0,0.7157,Poliedro,627.6136363636364,110.0,627.4957551020409,-0.2139326599326523
33120544,COLEGIO E CURSO PENSI,3301009,4.0,16,Desafiante (2º-5º local),False,632.2663670411985,89.0,4.0,247.0,0.7155,Poliedro,636.0863157894737,76.0,634.0258585858586,-3.8199487482752374
15177017,COLEGIO EQUIPE ANANINDEUA,1500800,1.0,22,Líder local,False,639.1128395061728,81.0,3.0,241.0,0.7153,Poliedro,650.3698360655737,61.0,643.9485915492958,-11.256996559400932
50007858,COLEGIO SALESIANO DOM BOSCO,5002704,8.0,31,Outras posições,False,627.3273913043478,46.0,5.0,195.0,0.7152,Poliedro,643.2887037037037,36.0,634.3347967479674,-15.961312399355961
43215360,COLEGIO FLEMING PASSO FUNDO,4314100,2.0,5,Desafiante (2º-5º local),False,651.9291156462585,49.0,2.0,131.0,0.7152,Poliedro,658.2366666666667,48.0,655.050378006873,-6.307551020408141
29149860,COLEGIO DINAMO,2900702,2.0,7,Desafiante (2º-5º local),False,632.1979629629631,54.0,4.0,190.0,0.7151,Poliedro,652.1633333333334,60.0,642.706052631579,-19.96537037037035
53038002,C DE ENS MEDIO DELTA,5300108,33.0,117,Outras posições,False,636.4544000000001,50.0,4.0,193.0,0.7145,Poliedro,648.7285875706215,59.0,643.0982262996941,-12.274187570621393
33176671,COLEGIO INSTITUTO MARCOS FREITAS,3304557,90.0,344,Outras posições,False,638.9804651162791,43.0,3.0,222.0,0.7145,Poliedro,649.1155555555556,45.0,644.1631818181818,-10.135090439276496
35139208,ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III,3548807,3.0,10,Desafiante (2º-5º local),False,666.8223076923077,26.0,0.0,102.0,0.7144,Poliedro,684.0826666666667,15.0,673.1370731707318,-17.26035897435895
41382161,ALFA DE UMUARAMA CENTRO C E M,4128104,1.0,8,Líder local,False,627.0575308641975,135.0,5.0,448.0,0.7144,Poliedro,632.1925071225071,117.0,629.4416269841269,-5.134976258309621
35155664,CIDADE DE ATIBAIA COLEGIO,3504107,3.0,11,Desafiante (2º-5º local),False,663.6046666666666,30.0,1.0,108.0,0.7141,Poliedro,680.0271794871795,39.0,672.8869565217391,-16.422512820512907
35114066,CLARETIANO COLEGIO,3543907,3.0,8,Desafiante (2º-5º local),False,626.8496774193549,62.0,5.0,197.0,0.7141,Poliedro,612.1702564102563,78.0,618.6711428571429,14.679421009098519
35125490,LICEU TERRAS DO ENGENHO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,3538709,6.0,25,Outras posições,False,649.31375,32.0,3.0,125.0,0.714,Poliedro,641.7266666666667,57.0,644.454606741573,7.587083333333339
