codigo_escola;segmento_golden_lead;segmento_ordem
33120986;🟡 Golden Leads (1.127);1
33145237;🟡 Golden Leads (1.127);1
33155860;🟡 Golden Leads (1.127);1
33058164;🟡 Golden Leads (1.127);1
33101809;🟡 Golden Leads (1.127);1
33039976;🟡 Golden Leads (1.127);1
33040516;🟡 Golden Leads (1.127);1
33182108;🟡 Golden Leads (1.127);1
33041105;🟡 Golden Leads (1.127);1
33041130;🟡 Golden Leads (1.127);1
33151369;🟡 Golden Leads (1.127);1
33031371;🟡 Golden Leads (1.127);1
33031410;🟡 Golden Leads (1.127);1
33031649;🟡 Golden Leads (1.127);1
33439796;🟡 Golden Leads (1.127);1
33025673;🟡 Golden Leads (1.127);1
33195552;🟡 Golden Leads (1.127);1
33062609;🟡 Golden Leads (1.127);1
33062633;🟡 Golden Leads (1.127);1
33063311;🟡 Golden Leads (1.127);1
33063419;🟡 Golden Leads (1.127);1
33063516;🟡 Golden Leads (1.127);1
33063648;🟡 Golden Leads (1.127);1
33063656;🟡 Golden Leads (1.127);1
33063710;🟡 Golden Leads (1.127);1
33063729;🟡 Golden Leads (1.127);1
33064024;🟡 Golden Leads (1.127);1
33064032;🟡 Golden Leads (1.127);1
33064040;🟡 Golden Leads (1.127);1
33064369;🟡 Golden Leads (1.127);1
33064393;🟡 Golden Leads (1.127);1
33064628;🟡 Golden Leads (1.127);1
33064768;🟡 Golden Leads (1.127);1
33065195;🟡 Golden Leads (1.127);1
33065314;🟡 Golden Leads (1.127);1
33065403;🟡 Golden Leads (1.127);1
33065837;🟡 Golden Leads (1.127);1
33066566;🟡 Golden Leads (1.127);1
33066574;🟡 Golden Leads (1.127);1
33066671;🟡 Golden Leads (1.127);1
33066698;🟡 Golden Leads (1.127);1
33066752;🟡 Golden Leads (1.127);1
33069565;🟡 Golden Leads (1.127);1
33071721;🟡 Golden Leads (1.127);1
33075425;🟡 Golden Leads (1.127);1
33077029;🟡 Golden Leads (1.127);1
33077258;🟡 Golden Leads (1.127);1
33078866;🟡 Golden Leads (1.127);1
33085846;🟡 Golden Leads (1.127);1
33087539;🟡 Golden Leads (1.127);1
33087628;🟡 Golden Leads (1.127);1
33088519;🟡 Golden Leads (1.127);1
33100705;🟡 Golden Leads (1.127);1
33100713;🟡 Golden Leads (1.127);1
33100977;🟡 Golden Leads (1.127);1
33101876;🟡 Golden Leads (1.127);1
33104220;🟡 Golden Leads (1.127);1
33104247;🟡 Golden Leads (1.127);1
33105154;🟡 Golden Leads (1.127);1
33105405;🟡 Golden Leads (1.127);1
33109923;🟡 Golden Leads (1.127);1
33110034;🟡 Golden Leads (1.127);1
33110328;🟡 Golden Leads (1.127);1
33111642;🟡 Golden Leads (1.127);1
33111901;🟡 Golden Leads (1.127);1
33115460;🟡 Golden Leads (1.127);1
33116784;🟡 Golden Leads (1.127);1
33116903;🟡 Golden Leads (1.127);1
33124418;🟡 Golden Leads (1.127);1
33135169;🟡 Golden Leads (1.127);1
33135371;🟡 Golden Leads (1.127);1
33135827;🟡 Golden Leads (1.127);1
33142726;🟡 Golden Leads (1.127);1
33147809;🟡 Golden Leads (1.127);1
33148376;🟡 Golden Leads (1.127);1
33149410;🟡 Golden Leads (1.127);1
33149780;🟡 Golden Leads (1.127);1
33154007;🟡 Golden Leads (1.127);1
33155852;🟡 Golden Leads (1.127);1
33159637;🟡 Golden Leads (1.127);1
33159645;🟡 Golden Leads (1.127);1
33160180;🟡 Golden Leads (1.127);1
33160830;🟡 Golden Leads (1.127);1
33166820;🟡 Golden Leads (1.127);1
33173931;🟡 Golden Leads (1.127);1
