codigo_municipio,populacao_total,qtd_escolas_elegiveis,qtd_escolas_com_enem,enem_media_praca,populacao_0_17,score_socioeconomico,percentil_socioeconomico,percentil_volume_escolas,percentil_qualidade_enem,score_priorizacao,nome_municipio_ibge,uf
1100205,460434,10.0,9.0,612.1691314031181,125247,0.26036810479727246,0.5,0.5738993710691824,0.6031746031746031,0.5531,Porto Velho,RO
3169901,103365,5.0,5.0,650.1067724867726,22576,0.24616274793969412,0.449685534591195,0.25157232704402516,0.9873015873015873,0.5515,Ubá,MG
3147907,111939,4.0,4.0,640.830303030303,24427,0.2699312541475759,0.5440251572327044,0.17767295597484276,0.9333333333333333,0.5509,Passos,MG
3505500,122485,8.0,7.0,607.852087087087,25793,0.29655810091683543,0.6257861635220126,0.46855345911949686,0.5238095238095238,0.548,Barretos,SP
3506508,118979,5.0,4.0,628.976062992126,25150,0.26441049501911335,0.5157232704402516,0.25157232704402516,0.8571428571428571,0.5389,Birigui,SP
2914802,186708,8.0,6.0,621.1329957805907,41498,0.23840258400114978,0.4119496855345912,0.46855345911949686,0.7587301587301587,0.533,Itabuna,BA
3168606,137418,5.0,4.0,643.0780116959064,31484,0.2423594270447592,0.4276729559748428,0.25157232704402516,0.9492063492063492,0.5313,Teófilo Otoni,MG
2609600,349976,15.0,12.0,596.9381941309255,77841,0.2528617879327138,0.4591194968553459,0.7468553459119497,0.3904761904761905,0.5248,Olinda,PE
1504208,266533,13.0,9.0,622.6606303030303,81839,0.19595217088120404,0.2169811320754717,0.6776729559748428,0.7682539682539683,0.5206,Marabá,PA
2307304,286120,10.0,7.0,630.8691018998272,74039,0.1945742873927645,0.21069182389937108,0.5738993710691824,0.873015873015873,0.5184,Juazeiro do Norte,CE
3302700,197277,11.0,10.0,583.5319686800894,42807,0.29439119254267165,0.6194968553459119,0.6194968553459119,0.2761904761904762,0.5165,Maricá,RJ
3522307,157790,12.0,10.0,596.7776393442623,36754,0.26405680291371947,0.5094339622641509,0.64937106918239,0.3873015873015873,0.5148,Itapetininga,SP
3304904,896744,54.0,28.0,599.8165003615329,180641,0.20723735012192818,0.2578616352201258,0.9449685534591195,0.4222222222222222,0.5133,São Gonçalo,RJ
4318705,217409,8.0,4.0,594.2096066252589,49591,0.31267690099990997,0.6635220125786163,0.46855345911949686,0.3492063492063492,0.5107,São Leopoldo,RS
3205002,520653,12.0,8.0,603.1377991452991,131650,0.24388740887820037,0.4371069182389937,0.64937106918239,0.45714285714285713,0.5068,Serra,ES
3552809,273542,13.0,12.0,581.6281078431373,63209,0.27717414511540506,0.5723270440251572,0.6776729559748428,0.24761904761904763,0.5065,Taboão da Serra,SP
5107925,110635,6.0,4.0,602.8496774193549,32225,0.3174303089391941,0.6792452830188679,0.32861635220125784,0.4507936507936508,0.5055,Sorriso,MT
3103504,117808,6.0,6.0,612.3207076350094,25457,0.2728064196541089,0.5566037735849056,0.32861635220125784,0.6126984126984127,0.505,Araguari,MG
2604106,378048,19.0,15.0,602.5435143769967,95556,0.21521642511336656,0.3081761006289308,0.8238993710691824,0.4444444444444444,0.5038,Caruaru,PE
2700300,234696,20.0,15.0,608.9194881889763,63413,0.19819662591484774,0.22012578616352202,0.8380503144654088,0.5428571428571428,0.5023,Arapiraca,AL
2903201,159734,6.0,6.0,630.6304964539008,43478,0.2240893741592252,0.3584905660377358,0.32861635220125784,0.8666666666666667,0.502,Barreiras,BA
3302205,101041,5.0,3.0,621.8255769230769,20707,0.25806562521160636,0.48427672955974843,0.25157232704402516,0.765079365079365,0.4987,Itaperuna,RJ
3513801,393237,20.0,14.0,584.8590499590499,87574,0.23356113377149434,0.389937106918239,0.8380503144654088,0.2920634920634921,0.495,Diadema,SP
1600303,442933,18.0,15.0,590.3629422382671,135885,0.23185621428881442,0.37735849056603776,0.809748427672956,0.326984126984127,0.492,Macapá,AP
3541000,349935,17.0,16.0,554.3617045454546,81590,0.2868392483501714,0.6037735849056604,0.789308176100629,0.044444444444444446,0.4916,Praia Grande,SP
2207702,162159,14.0,11.0,608.9778411053541,40262,0.2090730678151465,0.27044025157232704,0.7122641509433962,0.5492063492063493,0.4866,Parnaíba,PI
3552403,279545,8.0,4.0,612.2523456790124,66027,0.2383333060065004,0.4088050314465409,0.46855345911949686,0.6063492063492063,0.486,Sumaré,SP
4125506,329628,11.0,10.0,582.6921872477803,81794,0.2700837063676498,0.5471698113207547,0.6194968553459119,0.2698412698412698,0.4857,São José dos Pinhais,PR
3538006,165428,10.0,8.0,598.5583464566929,38545,0.2569267858943579,0.4779874213836478,0.5738993710691824,0.40634920634920635,0.4853,Pindamonhangaba,SP
3300100,167434,16.0,13.0,586.8551578947369,40838,0.23746220539658253,0.4025157232704403,0.7720125786163522,0.30158730158730157,0.4831,Angra dos Reis,RJ
3300209,129671,11.0,10.0,604.6164642375169,29144,0.2331883057249066,0.3836477987421384,0.6194968553459119,0.47619047619047616,0.4822,Araruama,RJ
2105302,273110,15.0,9.0,596.7563988095238,73144,0.22325921067436194,0.3522012578616352,0.7468553459119497,0.38412698412698415,0.4802,Imperatriz,MA
3202405,124656,3.0,1.0,617.3081481481481,28831,0.28413279903245975,0.5943396226415094,0.1179245283018868,0.6888888888888889,0.4798,Guarapari,ES
3510500,134873,9.0,6.0,598.8944768856447,32656,0.2582327853509342,0.48742138364779874,0.5251572327044025,0.4126984126984127,0.4763,Caraguatatuba,SP
4313409,227646,5.0,3.0,579.5519047619048,47523,0.3717901009927689,0.8333333333333334,0.25157232704402516,0.21904761904761905,0.4745,Novo Hamburgo,RS
5008305,132152,7.0,5.0,609.0897478991596,34088,0.2544577073090369,0.46855345911949686,0.39937106918238996,0.5523809523809524,0.4729,Três Lagoas,MS
3201209,185786,7.0,5.0,610.919755058573,41110,0.24390250267814992,0.44025157232704404,0.39937106918238996,0.5746031746031746,0.4683,Cachoeiro de Itapemirim,ES
