cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Goiânia;GO;4;64;COLEGIO PROGRESSIVO;52034054;0.8848;677.0;263.0;False;False;1
Goiânia;GO;5;64;COLEGIO AGOSTINIANO NS DE FATIMA;52033210;0.8721;687.1;516.0;False;False;1
Goiânia;GO;6;64;COLEGIO JAO LTDA;52086615;0.8716;660.7;218.0;False;False;1
Goiânia;GO;7;64;COLEGIO PREVEST;52034046;0.8698;670.8;490.0;False;False;1
Goiânia;GO;8;64;COLEGIO WR;52068986;0.8646;717.8;823.0;False;False;1
Goiânia;GO;9;64;COLEGIO MARISTA GOIANIA EI EF EM;52033708;0.8644;658.1;165.0;False;False;1
Goiânia;GO;10;64;COLEGIO DEGRAUS;52091384;0.859;674.1;122.0;False;False;1
Guarulhos;SP;1;56;COLEGIO PARTHENON BOM CLIMA;35133115;0.8685;683.0;197.0;False;False;3
Guarulhos;SP;2;56;CARBONELL COLEGIO;35468400;0.8417;695.4;95.0;False;False;3
Guarulhos;SP;3;56;MATER AMABILIS COLEGIO;35108145;0.831;672.1;328.0;True;False;3
Guarulhos;SP;4;56;PARTHENON COLEGIO;35144216;0.7743;640.6;163.0;False;False;3
Guarulhos;SP;5;56;AUGUSTO RUSCHI COLEGIO;35108112;0.7406;641.9;99.0;False;False;3
Guarulhos;SP;6;56;GUILHERME DE ALMEIDA COLEGIO UNIDADE I;35131945;0.7373;626.5;95.0;False;False;3
Guarulhos;SP;7;56;CANADA COLEGIO;35140806;0.7203;645.8;145.0;False;False;3
Guarulhos;SP;8;56;COLEGIO TORRICELLI UNIDADE I;35529503;0.6034;612.6;170.0;False;False;3
Guarulhos;SP;9;56;CIDADE JARDIM CUMBICA COLEGIO;35126615;0.6012;604.5;192.0;False;False;3
Guarulhos;SP;10;56;ALMEIDA GASPARIN COLEGIO;35142360;0.5947;607.2;47.0;False;False;3
Imperatriz;MA;1;10;ESCOLA SANTA TERESINHA;21095752;0.8209;663.4;240.0;False;False;3
Imperatriz;MA;2;10;INST EDUCACIONAL SUL MARANHENSE COC;21272921;0.7907;643.4;90.0;False;False;3
Imperatriz;MA;3;10;COMPLEXO EDUCACIONAL DOM BOSCO;21092761;0.7007;614.9;183.0;True;False;3
Imperatriz;MA;4;10;COLEGIO SANTA LUZIA;21092680;0.6707;618.1;212.0;False;False;3
Imperatriz;MA;5;10;ESCOLA ARTE DE EDUCAR E CEB;21092842;0.6674;621.1;129.0;False;False;3
Imperatriz;MA;6;10;COL METROPOLITANO ALIANCA;21259330;0.6556;637.2;82.0;False;False;3
Imperatriz;MA;7;10;CE BALAO MAGICO;21093040;0.5717;606.6;92.0;False;False;3
Imperatriz;MA;8;10;COLEGIO ADVENTISTA DE IMPERATRIZ;21092419;0.5133;595.5;167.0;False;False;3
Imperatriz;MA;9;10;CENTRO EDUCACIONAL CASTELO DO SABER;21500720;0.2452;546.6;143.0;False;False;3
Imperatriz;MA;10;10;ESCOLA COELHO NETO;21092869;0.2146;519.0;59.0;False;False;3
Itabira;MG;1;6;COLEGIO COMERCIAL ITABIRANO;31105899;0.8781;676.6;165.0;False;False;2
Itabira;MG;2;6;COLEGIO AUGE;31361496;0.8414;658.7;89.0;True;False;2
Itabira;MG;3;6;COL N SRA DAS DORES;31105902;0.7999;641.7;143.0;False;False;2
Itabira;MG;4;6;COLEGIO CESE - UNIDADE II;31377767;0.618;611.4;108.0;False;False;2
Itabira;MG;5;6;COLEGIO SUPER MAIS;31368113;0.5587;615.8;63.0;False;False;2
Itabira;MG;6;6;SEPRO -SIST EDUC PROF DE ITABIRA;31293181;0.4889;585.9;83.0;False;False;2
Itabuna;BA;1;7;COLEGIO GALILEU;29304407;0.7469;634.8;361.0;False;False;2
Itabuna;BA;2;7;COLEGIO IEPROL;29456096;0.738;650.8;83.0;True;False;2
Itabuna;BA;3;7;COLEGIO DIVINA PROVIDENCIA;29304393;0.5949;618.2;198.0;False;False;2
