codigo_municipio;populacao_total;qtd_escolas_elegiveis;qtd_escolas_com_enem;enem_media_praca;populacao_0_17;score_socioeconomico;percentil_socioeconomico;percentil_volume_escolas;percentil_qualidade_enem;score_priorizacao;nome_municipio_ibge;uf;rank_cidade;top10
3304524;156491;19,0;15,0;612,3764203233256;37987;0,317563642555785;0,6823899371069182;0,8238993710691824;0,6190476190476191;0,7058;Rio das Ostras;RJ;80;False
3304201;129612;9,0;8,0;625,1973194081811;28384;0,3376623180379266;0,7515723270440252;0,5251572327044025;0,8095238095238095;0,701;Resende;RJ;81;False
4204202;254785;7,0;7,0;627,3340890688258;60191;0,3702196765192742;0,8238993710691824;0,3993710691823899;0,8380952380952381;0,7008;Chapecó;SC;82;False
3143302;414240;15,0;12,0;634,6174447513812;97905;0,2653813546400318;0,5220125786163522;0,7468553459119497;0,8920634920634921;0,7005;Montes Claros;MG;83;False
3138203;104761;6,0;5,0;642,6059722222221;21447;0,3571909552159769;0,7924528301886793;0,3286163522012578;0,946031746031746;0,6994;Lavras;MG;84;False
5201108;398869;15,0;9,0;624,500027100271;96733;0,2790280355070902;0,5786163522012578;0,7468553459119497;0,7936507936507936;0,6936;Anápolis;GO;85;False
1501402;1303403;73,0;56,0;595,1068509761126;289801;0,3349808396347901;0,7358490566037735;0,9685534591194968;0,3619047619047619;0,6935;Belém;PA;86;False
3170701;136467;8,0;6,0;641,6947181964573;29604;0,3144611468633114;0,6698113207547169;0,4685534591194968;0,9396825396825396;0,6904;Varginha;MG;87;False
4302105;123151;3,0;2,0;645,3987037037036;24490;0,4273528549739644;0,89937106918239;0,1179245283018868;0,961904761904762;0,6837;Bento Gonçalves;RS;88;False
5218805;225696;13,0;8,0;624,9428952380953;57088;0,2841638267620219;0,5974842767295597;0,6776729559748428;0,8031746031746032;0,6832;Rio Verde;GO;89;False
5003702;243367;7,0;5,0;638,197188940092;62927;0,3220949051305894;0,710691823899371;0,3993710691823899;0,9174603174603174;0,6793;Dourados;MS;90;False
3523909;168240;10,0;9,0;627,1138408304497;38350;0,3017756831976106;0,6415094339622641;0,5738993710691824;0,834920634920635;0,6792;Itu;SP;91;False
3523404;121590;11,0;8,0;605,5406178861789;25694;0,3915613128913008;0,8584905660377359;0,6194968553459119;0,4857142857142857;0,675;Itatiba;SP;92;False
2910800;616272;25,0;19,0;629,3867800453515;150536;0,2252830688119694;0,3616352201257861;0,8726415094339622;0,8634920634920635;0,6655;Feira de Santana;BA;93;False
3526902;291869;20,0;15,0;598,9683223443224;60159;0,3256886036861682;0,7169811320754716;0,8380503144654088;0,4158730158730159;0,663;Limeira;SP;94;False
3118601;621863;16,0;15,0;619,0060910087719;133532;0,268553256769496;0,5345911949685535;0,7720125786163522;0,7206349206349206;0,6616;Contagem;MG;95;False
3301009;483540;26,0;15,0;616,9691789015769;114930;0,2544922756041808;0,4716981132075472;0,8789308176100629;0,6857142857142857;0,6581;Campos dos Goytacazes;RJ;96;False
5107909;196312;8,0;5,0;622,8992175273866;53032;0,3194469800151827;0,7075471698113207;0,4685534591194968;0,780952380952381;0,6579;Sinop;MT;97;False
3525300;133497;9,0;9,0;637,4309604519773;27600;0,2752181751359509;0,5628930817610063;0,5251572327044025;0,9047619047619048;0,6541;Jaú;SP;98;False
4314100;206215;3,0;2,0;635,0666666666667;45617;0,4010665775133676;0,8710691823899371;0,1179245283018868;0,8952380952380953;0,6524;Passo Fundo;RS;99;False
3534401;728615;36,0;27,0;579,6166804293971;164759;0,3473301794385212;0,7767295597484277;0,9072327044025156;0,2222222222222222;0,6495;Osasco;SP;100;False
3529005;237627;11,0;9,0;605,8707282282282;50865;0,3439997859296293;0,7704402515723271;0,6194968553459119;0,4984126984126984;0,6435;Marília;SP;101;False
2704302;957916;77,0;60,0;584,7387328562911;234605;0,3072652726151068;0,6509433962264151;0,9716981132075472;0,2888888888888888;0,6386;Maceió;AL;102;False
3518404;118044;8,0;6,0;612,7476543209876;24841;0,3427275258796756;0,7641509433962265;0,4685534591194968;0,6285714285714286;0,6348;Guaratinguetá;SP;103;False
4108304;285415;15,0;11,0;605,1315809523811;69837;0,3124759560020873;0,660377358490566;0,7468553459119497;0,4825396825396825;0,633;Foz do Iguaçu;PR;104;False
4218707;110088;6,0;5,0;619,5928306878308;22541;0,3524650067138779;0,7830188679245284;0,3286163522012578;0,7333333333333333;0,6318;Tubarão;SC;105;False
5211909;105729;7,0;3,0;638,9468992248062;25972;0,2797127917898601;0,5817610062893082;0,3993710691823899;0,926984126984127;0,6306;Jataí;GO;106;False
3507605;176811;11,0;11,0;608,3049751243781;37106;0,3187476065705691;0,6949685534591195;0,6194968553459119;0,5333333333333333;0,6238;Bragança Paulista;SP;107;False
4204608;214493;6,0;4,0;616,7267320261437;46870;0,3594478800180337;0,7987421383647799;0,3286163522012578;0,6761904761904762;0,6209;Criciúma;SC;108;False
3543907;201418;9,0;7,0;605,8180185758514;41935;0,3380064284749481;0,7547169811320755;0,5251572327044025;0,4952380952380952;0,608;Rio Claro;SP;109;False
3518800;1291771;78,0;58,0;582,6198347107438;309323;0,2809177441432863;0,5880503144654088;0,9748427672955976;0,2666666666666666;0,6077;Guarulhos;SP;110;False
5107602;244911;11,0;7,0;611,6739716312056;64865;0,2865441799367586;0,60062893081761;0,6194968553459119;0,5904761904761905;0,6032;Rondonópolis;MT;111;False
3300704;222161;20,0;11,0;599,1069427402863;51937;0,2734259179978062;0,559748427672956;0,8380503144654088;0,419047619047619;0,601;Cabo Frio;RJ;112;False
1200401;364756;13,0;9,0;618,5492548076923;103032;0,2541472242051867;0,4654088050314465;0,6776729559748428;0,7047619047619048;0,6009;Rio Branco;AC;113;False
3511102;115791;9,0;8,0;612,3922325581394;23337;0,3001626480752819;0,6383647798742138;0,5251572327044025;0,6222222222222222;0,5996;Catanduva;SP;114;False
5211503;107970;8,0;4,0;617,6721126760564;25041;0,2952651862794209;0,6226415094339622;0,4685534591194968;0,6952380952380952;0,5982;Itumbiara;GO;115;False
3530706;153658;11,0;9,0;617,310289017341;32845;0,2609641532107857;0,5062893081761006;0,6194968553459119;0,692063492063492;0,596;Mogi Guaçu;SP;116;False
4307005;105705;2,0;2,0;622,9337037037037;21661;0,3871657717909981;0,8522012578616353;0,0660377358490566;0,7841269841269841;0,5959;Erechim;RS;117;False
4211900;222598;9,0;8,0;611,661220657277;52746;0,3114827637427185;0,6572327044025157;0,5251572327044025;0,5841269841269842;0,5957;Palhoça;SC;118;False
4109401;182093;15,0;10,0;608,1507011070112;46146;0,2672457346174942;0,5283018867924528;0,7468553459119497;0,5301587301587302;0,5944;Guarapuava;PR;119;False
3104007;111691;5,0;4,0;636,9344347826087;25430;0,2894639419224526;0,6132075471698113;0,2515723270440251;0,9015873015873016;0,5912;Araxá;MG;120;False
3503307;130866;7,0;5,0;613,8222365591398;27317;0,3180522525973231;0,6855345911949685;0,3993710691823899;0,6412698412698413;0,5864;Araras;SP;121;False
4119905;358371;14,0;10,0;595,1243;88908;0,3077174440260156;0,6540880503144654;0,7122641509433962;0,365079365079365;0,5848;Ponta Grossa;PR;122;False
4208906;182660;7,0;6,0;605,5478711484593;41565;0,3547293160482133;0,789308176100629;0,3993710691823899;0,4888888888888889;0,5822;Jaraguá do Sul;SC;123;False
3534708;103970;8,0;7,0;611,8305612244899;22838;0,3041190349700639;0,6477987421383647;0,4685534591194968;0,5968253968253968;0,5787;Ourinhos;SP;124;False
