codigo_escola;NO_ENTIDADE;cidade
26181231;COLEGIO FAZER CRESCER - ENSINO MEDIO;Recife
33089825;COLEGIO SANTA MONICA - SAO GONCALO;São Gonçalo
42020565;COLEGIO DOS SANTOS ANJOS;Joinville
51014459;CENTRO EDUCACIONAL VINICIUS DE MORAES;Sorriso
35125982;COLEGIO PORTO ALVORADA ENSINO FUNDAMENTAL E MEDIO;Jaú
42160081;GAIA CURSO E COLEGIO;Florianópolis
31217123;COLEGUIUM - UNIDADE OURO PRETO;Belo Horizonte
33111901;COL BAHIENSE VAZ LOBO;Rio de Janeiro
25164805;FERA COLEGIO E CURSO;Patos
35153631;INSTITUTO DE ENSINO NOVO DINAMICO;São Paulo
32018134;ESCOLA ALTERNATIVA LAGO DOS CISNES;São Mateus
51067471;PPE - PRINA PITT ESCOLA;Sinop
42160073;COLEGIO FORMULA;Palhoça
33071721;COLEGIO QI METROPOLITANO;Rio de Janeiro
33159645;GRUPO EDUCACIONAL MOPI LTDA - UNIDADE INTEGRADO II - TIJUCA;Rio de Janeiro
31118320;COL IMACULADA CONCEICAO;Passos
33196222;ESCOLA NOVA BY SWISS INTERNATIONAL SCHOOL;Rio de Janeiro
35138769;ASTHER COLEGIO;Campinas
31377899;COLEGIO OMEGA;Muriaé
42141036;COLEGIO ENERGIA;Chapecó
21267324;COLEGIO GLAUCIA COSTA;Timon
35137133;PENTAGONO COLEGIO UNIDADE MORUMBI;São Paulo
31369969;COLEGIO NACIONAL - UNIDADE IV;Uberlândia
28020049;LICEU DE ESTUDOS INTEGRADOS;Aracaju
33182094;COLEGIO E CURSO PENSI;Teresópolis
35113219;SAO VICENTE DE PAULO COLEGIO;Jundiaí
35112689;COMUNITARIA DE CAMPINAS ESCOLA;Campinas
32041373;SOCIEDADE CULTURAL MONTEIRO LOBATO CEMS;Vitória
41068785;LA SALLE C ED INF ENS FUND MEDIO;Toledo
35373886;D INCAO INSTITUTO DE ENSINO;Bauru
35117547;CRIATIVO COLEGIO;Marília
31379832;COLEGIO DONA CLARA - UNIDADE 2;Belo Horizonte
52083888;COLEGIO PROTAGORAS;Goiânia
33189137;AVANCO FREGUESIA COLEGIO E CURSO LTDA;Rio de Janeiro
33112959;CENTRO EDUCACIONAL JARDIM AMALIA;Volta Redonda
29467950;DOM JEQUIE;Jequié
53017293;UNICO EDUCACIONAL TAGUATINGA;Brasília
27218180;SEB ESCOLAS DE ALTA PERFORMANCE LTDA;Maceió
35165396;SANTA BARBARA COLEGIO;Bragança Paulista
33055890;COLEGIO NOSSA SENHORA DAS MERCES;Niterói
15173437;COLEGUIUM - UNIDADE INTERNACIONAL CARAJAS;Parauapebas
31370100;SISTEMA DE ENSINO FOCO;Montes Claros
25129899;ISO COLEGIO E CURSOS;João Pessoa
33173990;COLEGIO E CURSO AZ - UNIDADE TIJUCA;Rio de Janeiro
33041105;COLEGIO BOM JESUS CANARINHOS;Petrópolis
33447225;COLEGIO E CURSO AZ - UNIDADE BARRA;Rio de Janeiro
31353906;COLEGIO SANTA MARIA MINAS - UNIDADE BETIM;Betim
33151369;ESCOLA BOM JESUS MENINO JESUS;Petrópolis
35140685;INTEGRAL APLICADO COLEGIO;Mogi Guaçu
33069565;INSTITUTO PIO XI;Rio de Janeiro
35137674;COLEGIO SER UNIDADE CAMPOLIM;Sorocaba
26122154;COLEGIO DE SANTA CATARINA;Recife
35117560;BEZERRA DE MENEZES COLEGIO EIFM E TECNICO;Marília
31367710;COLEGIO SOLIDO - UNIDADE SAO JOSE;Montes Claros
33055416;COLEGIO E CURSO ZEROHUM ICARAI;Niterói
24087157;FACEX UNIDADE CIC;Natal
26186896;PAIVA EDUCACIONAL SA;Cabo de Santo Agostinho
23073209;COLEGIO LOURENCO FILHO CENTRAL;Fortaleza
33077258;COLEGIO SERVITA NOSSA SENHORA RAINHA DOS CORACOES;Rio de Janeiro
25125958;INTERABESSA COLEGIO E CURSO LTDA ME;João Pessoa
52099946;COLEGIO PROTAGORAS BUENO;Goiânia
42109230;COLEGIO ENERGIA;Florianópolis
29304407;COLEGIO GALILEU;Itabuna
33190160;COLEGIO SILVA SERPA;São Pedro da Aldeia
31369977;COL CHROMOS BARREIRO;Belo Horizonte
35499778;ILIMIT EDUCACIONAL;Americana
29178223;COLEGIO APOIO LTDA;Lauro de Freitas
33147809;COLEGIO PALAS;Rio de Janeiro
33043086;ESC GEORGE MARCH LTDA;Teresópolis
31371726;SOPHIS EDUCACIONAL;Divinópolis
35135550;COLEGIO SANTA VIRGINIA;São Paulo
35197440;COLEGIO AZ INTERNACIONAL;Bragança Paulista
35104991;BENJAMIN CONSTANT COLEGIO;São Paulo
31346314;COLEGIO IMP LTDA;Lavras
