codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
43173330,COL JOAO PAULO I - UNIDADE SUL,4314902,1,45,Líder local,697.0964705882352,34.0,5.0,163.0,0.9368,Porto Alegre,RS,91760630,PEDRA REDONDA,400,Jardim Isabel,Travessa Pedra Redonda,
52103137,COLEGIO ARENA,5208707,1,63,Líder local,695.3573529411765,340.0,5.0,1403.0,0.9349,Goiânia,GO,74210240,T 3,,Setor Bueno,Avenida T 3,
42133114,COLEGIO DA LAGOA,4205407,1,26,Líder local,643.13,16.0,5.0,61.0,0.8467,Florianópolis,SC,88062210,HYPOLITO DO VALLE PEREIRA,121,Lagoa da Conceição,Largo Hippólito do Valle Pereira,
31005975,INSTITUTO CORACAO DE JESUS,3106200,6,88,Outras posições,678.9444444444445,27.0,5.0,84.0,0.9209,Belo Horizonte,MG,30421185,OLINDA,206,Nova Suíssa,Rua Olinda,
31004138,COLEGIO ARNALDO - UNIDADE ANCHIETA,3106200,7,88,Outras posições,671.7014285714286,14.0,5.0,44.0,0.9118,Belo Horizonte,MG,30310360,VITORIO MARCOLA,360,Anchieta,Rua Vitório Marcola,
31007111,COLEGIO SAGRADO CORACAO DE JESUS,3106200,8,88,Outras posições,670.2414814814815,54.0,5.0,206.0,0.9103,Belo Horizonte,MG,30150370,PROFESSOR MORAES,363,Savassi,Rua Professor Moraes,
31294110,COLEGIO BURITIS AGOSTINIANO,3106200,9,88,Outras posições,669.0050666666667,25.0,5.0,90.0,0.9084,Belo Horizonte,MG,30493180,JOSE HEMETERIO ANDRADE,850,Buritis,Rua José Hemetério Andrade,
53009428,COL COC LAGO NORTE,5300108,6,101,Outras posições,667.4441666666667,12.0,5.0,47.0,0.9057,Brasília,DF,71515205,SHIN QL 9,S/N,Setor de Habitações Individuais Norte,Quadra SHIN QL 9,
32040210,ESCOLA CRESCER,3205309,6,16,Outras posições,665.603076923077,13.0,5.0,50.0,0.9022,Vitória,ES,29055642,RIO BRANCO,1805,Praia do Canto,Avenida Rio Branco,
31006513,COLEGIO NOSSA SENHORA DA PIEDADE,3106200,10,88,Outras posições,661.2614285714286,28.0,5.0,84.0,0.8946,Belo Horizonte,MG,30411315,MONSENHOR DOMINGOS PINHEIRO,35,Calafate,Rua Monsenhor Domingos Pinheiro,
43104983,COLEGIO ISRAELITA BRASILEIRO,4314902,6,45,Outras posições,661.2070731707317,41.0,5.0,175.0,0.8944,Porto Alegre,RS,90630165,PROTASIO ALVES,,Santa Cecília,Avenida Protásio Alves,
31007153,ESCOLA SEB UNIDADE SERRA,3106200,11,88,Outras posições,661.0757575757576,11.0,5.0,38.0,0.8943,Belo Horizonte,MG,30220060,PROFESSOR ESTEVAO PINTO,400,Serra,Rua Professor Estevão Pinto,
31004111,COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO,3106200,12,88,Outras posições,659.145,20.0,5.0,70.0,0.8901,Belo Horizonte,MG,31015178,BUENO BRANDAO,151,Floresta,Rua Bueno Brandão,
43105017,COL NOSSA SENHORA DO BOM CONSELHO,4314902,7,45,Outras posições,658.6786666666667,45.0,5.0,163.0,0.8892,Porto Alegre,RS,90560032,RAMIRO BARCELOS,996,Moinhos de Vento,Rua Ramiro Barcelos,
32040083,COLEGIO SALESIANO N S DA VITORIA,3205309,7,16,Outras posições,657.89,30.0,5.0,155.0,0.8867,Vitória,ES,29017950,"AVENIDA VITORIA, 950",950,Forte São João,Avenida Vitória,
53013875,COL SERIOS,5300108,7,101,Outras posições,655.1514285714286,14.0,5.0,50.0,0.8803,Brasília,DF,70390020,SGAS 902,75,Asa Sul,Quadra SGAS 902,
43105670,COLEGIO SINODAL DO SALVADOR,4314902,8,45,Outras posições,654.5282608695652,46.0,5.0,185.0,0.8787,Porto Alegre,RS,91370050,MATHILDE TREIN RENNER,55,Vila Ipiranga,Avenida Mathilde Trein Renner,
52104532,COLEGIO FAMILIA DE NAZARE,5208707,6,63,Outras posições,652.9418181818181,11.0,5.0,45.0,0.8745,Goiânia,GO,74415410,PENA CHAVES,,Vila Nova Canaã,Rua Pena Chaves,
53009940,COL PRESBITERIANO MACKENZIE - BRASILIA,5300108,8,101,Outras posições,651.1682539682539,63.0,5.0,275.0,0.8694,Brasília,DF,71600610,SHIS QI 5 CHACARAS 74 A 79,74,Setor de Habitações Individuais Sul,Quadra SHIS QI 5 Chácaras 74 a 79,
52097587,COLEGIO ATRIO,5208707,7,63,Outras posições,650.807037037037,72.0,5.0,374.0,0.8685,Goiânia,GO,74210240,T 3,2352,Setor Bueno,Avenida T 3,
31365874,ESCOLA EDUCAR - ENSINO MEDIO,3106200,13,88,Outras posições,650.4177777777778,18.0,5.0,71.0,0.8674,Belo Horizonte,MG,30882370,SERRANA,511,Serrano,Avenida Serrana,
26124220,COLEGIO SANTA MARIA,2611606,6,70,Outras posições,647.6229268292683,82.0,5.0,328.0,0.8599,Recife,PE,51020210,PADRE BERNARDINO PESSOA,512,Boa Viagem,Rua Padre Bernardino Pessoa,
26137631,COLEGIO NUCLEO,2611606,7,70,Outras posições,728.8309803921569,153.0,4.0,496.0,0.8487,Recife,PE,52050000,RUI BARBOSA,1680,Graças,Avenida Rui Barbosa,
53056000,COL OLIMPO,5300108,9,101,Outras posições,727.3460805860806,91.0,4.0,342.0,0.848,Brasília,DF,70390130,SGAS 913,A,Asa Sul,Quadra SGAS 913,
31004278,ESCOLA SANTO TOMAS DE AQUINO,3106200,14,88,Outras posições,642.9140350877193,38.0,5.0,136.0,0.8458,Belo Horizonte,MG,30350340,PROFESSOR CANDIDO HOLANDA,165,São Bento,Avenida Professor Cândido Holanda,
