codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque
53001095,C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE,5300108,11,98,Outras posições,False,688.0769306930694,202.0,4.0,690.0,0.8602
31006513,COLEGIO NOSSA SENHORA DA PIEDADE,3106200,13,80,Outras posições,False,661.2614285714286,28.0,5.0,84.0,0.8596
23491035,COLEGIO CHRISTUS DIONISIO TORRES,2304400,21,102,Outras posições,False,654.4182882882883,74.0,5.0,299.0,0.8593
22025715,COLEGIO PROPOSITO,2211001,8,44,Outras posições,False,697.483076923077,26.0,3.0,28.0,0.8587
23077042,ANTARES ATS COLEGIO,2304400,22,102,Outras posições,False,653.9826086956522,46.0,5.0,144.0,0.8585
24088846,COLEGIO PORTO,2408102,7,44,Outras posições,False,704.8577551020408,98.0,3.0,332.0,0.8571
28017803,COLEGIO DE CIENCIAS PURA E APLICADA,2800308,6,40,Outras posições,False,662.4105,120.0,5.0,355.0,0.8571
26163039,COLEGIO GGE,2611606,10,67,Outras posições,False,702.6117482517482,143.0,3.0,500.0,0.8558
26124220,COLEGIO SANTA MARIA,2611606,11,67,Outras posições,False,647.6229268292683,82.0,5.0,328.0,0.8553
35139497,PENTAGONO COLEGIO UNIDADE CAIUBI,3550308,15,417,Outras posições,False,679.046431372549,85.0,4.0,222.0,0.8551
33065314,COL NOTRE DAME - IPANEMA,3304557,27,308,Outras posições,False,647.5716279069768,43.0,5.0,187.0,0.8549
29182409,COLEGIO MODULO,2927408,9,74,Outras posições,False,666.8008823529411,68.0,4.0,259.0,0.854
52101363,COPE - COLEGIO PREPARAENEM,5208707,8,59,Outras posições,False,693.3356882255389,201.0,3.0,682.0,0.854
29486963,COLEGIO ANCHIETA,2927408,10,74,Outras posições,False,660.9685714285714,147.0,5.0,466.0,0.8538
43105670,COLEGIO SINODAL DO SALVADOR,4314902,9,44,Outras posições,False,654.5282608695652,46.0,5.0,185.0,0.8538
52089550,COLEGIO VISAO,5208707,9,59,Outras posições,False,669.8071515151515,55.0,5.0,119.0,0.8534
22144714,SAO JOSE LESTE,2211001,9,44,Outras posições,False,773.8318181818181,22.0,3.0,675.0,0.8529
33066574,COL DOS SANTOS ANJOS,3304557,28,308,Outras posições,False,646.573076923077,26.0,5.0,80.0,0.8515
33189838,ESCOLA SAP EDUCACAO POR PROJETOS,3304557,29,308,Outras posições,False,678.457,30.0,4.0,97.0,0.8491
31385433,COLEGIO DETERMINANTE,3106200,14,80,Outras posições,False,677.4993333333333,30.0,4.0,99.0,0.8466
23334266,FARIAS BRITO PRE VESTIBULAR ALDEOTA,2304400,23,102,Outras posições,False,686.3619896640827,258.0,3.0,492.0,0.8463
22129529,CEV COLEGIO UNIDADE JOCKEY,2211001,10,44,Outras posições,False,731.7705882352941,34.0,2.0,105.0,0.8456
31365874,ESCOLA EDUCAR - ENSINO MEDIO,3106200,15,80,Outras posições,False,650.4177777777778,18.0,5.0,71.0,0.8454
22025391,ESCOLA DOM BOSCO,2211001,11,44,Outras posições,False,651.9211111111111,18.0,5.0,54.0,0.8447
32040083,COLEGIO SALESIANO N S DA VITORIA,3205309,7,15,Outras posições,False,657.89,30.0,5.0,155.0,0.8447
32040210,ESCOLA CRESCER,3205309,8,15,Outras posições,False,665.603076923077,13.0,5.0,50.0,0.8442
33196249,ESCOLA ELEVA - URCA,3304557,30,308,Outras posições,False,671.893607305936,73.0,4.0,344.0,0.844
43172423,COLEGIO LEONARDO DA VINCI-ALFA,4314902,10,44,Outras posições,False,688.7002051282052,65.0,3.0,218.0,0.8438
33184720,COLEGIO ALFA CEM BILINGUE,3304557,31,308,Outras posições,False,713.7925,16.0,3.0,81.0,0.8429
24057002,COLGIO CONTEMPORANEO,2408102,8,44,Outras posições,False,651.2336,50.0,5.0,132.0,0.8425
23075961,ANTARES ATS COLEGIO,2304400,24,102,Outras posições,False,643.7070588235295,34.0,5.0,135.0,0.8405
31314749,COLEGIO ALUMNUS,3106200,16,80,Outras posições,False,680.132,10.0,3.0,48.0,0.8394
35134132,COLEGIO POLIEDRO DE EDUCACAO,3550308,16,417,Outras posições,True,686.2425555555557,60.0,4.0,268.0,0.8377
31374555,COLEGUIUM - INTERNACIONAL CIDADE NOVA,3106200,17,80,Outras posições,False,659.3384,25.0,4.0,100.0,0.8373
53013875,COL SERIOS,5300108,12,98,Outras posições,False,655.1514285714286,14.0,5.0,50.0,0.8367
33185590,COLEGIO CURSO TAMANDARE,3304557,32,308,Outras posições,False,707.888,15.0,2.0,15.0,0.8359
43108423,COLEGIO PROVINCIA DE SAO PEDRO,4314902,11,44,Outras posições,False,641.7426086956522,46.0,5.0,177.0,0.8338
33124418,COLEGIO QI - TIJUCA,3304557,33,308,Outras posições,False,651.9442105263158,57.0,4.0,184.0,0.8324
33154007,COLEGIO CAROLINNA RUSSO LTDA,3304557,34,308,Outras posições,False,660.4088,25.0,5.0,87.0,0.8323
33064032,ESCOLA ALEMA CORCOVADO - EXPERIMENTAL,3304557,35,308,Outras posições,False,641.4553968253969,42.0,5.0,228.0,0.8322
33178879,COLEGIO ALFA CEM BILINGUE,3304557,36,308,Outras posições,False,696.2688888888888,27.0,3.0,89.0,0.8319
35103433,OBJETIVO CENTRO INTERESCOLAR UNIDADE PAULISTA,3550308,17,417,Outras posições,False,653.2471987480437,213.0,5.0,604.0,0.831
52104532,COLEGIO FAMILIA DE NAZARE,5208707,10,59,Outras posições,False,652.9418181818181,11.0,5.0,45.0,0.8294
33116784,COLEGIO IGLESIAS,3304557,37,308,Outras posições,False,693.2199999999999,12.0,3.0,32.0,0.8288
31351725,COLEGUIUM - UNIDADE OURO PRETO INTEGRAL,3106200,18,80,Outras posições,False,746.2813333333332,30.0,1.0,85.0,0.8287
23269316,MASTER SUL COLEGIO,2304400,25,102,Outras posições,False,647.2314414414415,111.0,5.0,443.0,0.8283
35140338,MAGNO COLEGIO,3550308,18,417,Outras posições,False,677.8885232067511,79.0,4.0,313.0,0.8277
31350664,COLEGIO BERNOULLI,3106200,19,80,Outras posições,False,734.6394871794871,312.0,2.0,317.0,0.8265
24057061,COLEGIO EXECUTIVO LTDA,2408102,9,44,Outras posições,False,646.538,20.0,5.0,83.0,0.8263
21290229,RF ENSINO MEDIO LTDA,2111300,6,43,Outras posições,False,685.6965018315018,182.0,3.0,469.0,0.8259
24085634,CENTRO EDUCACIONAL MASTER,2408102,10,44,Outras posições,False,674.9399999999999,13.0,3.0,68.0,0.8258
33183139,INOVAR VEIGA DE ALMEIDA,3304557,38,308,Outras posições,False,640.264,10.0,5.0,56.0,0.8249
28017820,COLEGIO DO SALVADOR,2800308,7,40,Outras posições,False,664.8213333333333,25.0,4.0,123.0,0.8242
53016726,UNICO EDUCACIONAL,5300108,13,98,Outras posições,False,687.862625,320.0,3.0,885.0,0.8234
53009940,COL PRESBITERIANO MACKENZIE - BRASILIA,5300108,14,98,Outras posições,False,651.1682539682539,63.0,5.0,275.0,0.823
33055947,COLEGIO SALESIANO SANTA ROSA,3303302,6,38,Outras posições,False,643.9246987951807,83.0,5.0,316.0,0.8229
33159637,GRUPO EDUCACIONAL MOPI LTDA - UNIDADE ITANHANGA,3304557,39,308,Outras posições,False,654.9810526315789,19.0,4.0,87.0,0.8229
35100420,IMPERATRIZ LEOPOLDINA COLEGIO,3550308,19,417,Outras posições,False,650.9724,50.0,5.0,224.0,0.8229
26122090,COLEGIO PRESBITERIANO AGNES ERSKINE,2611606,12,67,Outras posições,False,639.6625490196079,68.0,5.0,236.0,0.8222
33135827,COLEGIO E CURSO PENSI,3304557,40,308,Outras posições,False,740.6806451612903,31.0,2.0,316.0,0.8219
52097587,COLEGIO ATRIO,5208707,11,59,Outras posições,False,650.807037037037,72.0,5.0,374.0,0.8219
28037723,NUCLEO AVANCADO DE ENSINO G8 LTDA,2800308,8,40,Outras posições,False,686.3105555555555,36.0,3.0,143.0,0.8212
33165998,COLEGIO PH,3303302,7,38,Outras posições,False,686.4499999999999,28.0,2.0,93.0,0.8183
